,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,0.05986969431970436,213.25962061228006,-31.0,0.6070121534989291,14
0.2,0.14950280016400042,215.1384708561091,177.0,0.7030311216727745,12
0.30000000000000004,0.27883073938061376,216.51973592307465,177.0,0.7689776989728047,12
0.4,0.288537802936601,234.27781904314207,593.0,0.7938611369961125,12
0.5,0.34997308359135504,245.3650573731376,489.0,0.7821730703449875,9
0.6,0.38441601937609127,244.3602253182313,593.0,0.7900234639688918,9
0.7000000000000001,0.41385963455988256,243.9498412647646,697.0,0.7862546721754748,9
0.8,0.4314960374246802,239.1133358631391,697.0,0.7787476686300518,9
0.9,0.468118404482874,249.08461741012894,697.0,0.8066947741981629,8
1.0,0.4818399431049507,249.35794295753493,801.0,0.8181917273865911,8
2.0,0.5957205393306509,257.25766889259336,1113.0,0.8847585475218508,7
3.0,0.6774270398856991,263.3681795383422,1113.0,0.9021073071460541,6
4.0,0.726494519717904,270.89651824573326,1217.0,0.9115823223938343,6
5.0,0.765948086409279,275.7385673201089,1217.0,0.9229446796688933,5
6.0,0.7753520794736194,298.01404963817293,1321.0,0.9232501739149351,4
7.0,0.7973813487931558,300.1992422167528,1321.0,0.9323125936489957,4
8.0,0.8116972957101883,303.02592206957155,1425.0,0.9339638267787691,4
9.0,0.8222412521572254,309.2251104313791,1425.0,0.9369415222058235,4
10.0,0.8505370534028237,317.0900111029087,1737.0,0.9435821544822409,4
11.0,0.8513743882108145,321.1753846291365,1841.0,0.9414817571746984,3
12.0,0.8630431173327544,327.2218703123121,1841.0,0.9467662259120355,3
13.0,0.8737746300457206,344.1027210582199,1945.0,0.9538779581387418,3
14.0,0.87066514999649,338.36950561722506,1945.0,0.9473927637235153,3
15.0,0.8691406478641139,342.7799498041304,1945.0,0.9463420370815359,3
16.0,0.8916317883551839,343.9196561919307,1945.0,0.9468602101929611,3
17.0,0.8927052273122443,361.1184532044323,2049.0,0.9514732611691917,3
18.0,0.8908423866969567,373.92459979632287,2049.0,0.948788272209177,3
19.0,0.8989653456658304,384.2535310788919,2049.0,0.9532425930747873,3
20.0,0.9092887558477576,381.0466635703695,2049.0,0.9536208876362299,2
