,correlation,rmsd,amp_diff
0.1,-0.3515093590698005,397.706096952553,489.0
0.2,-0.13811211407820503,442.5191870379504,801.0
0.30000000000000004,-0.055524272868928845,465.58126812901156,905.0
0.4,0.08949417772398215,449.9195634749952,905.0
0.5,0.13219961857517332,482.9738890984483,1113.0
0.6,0.21591888376028034,479.26587114602665,1113.0
0.7000000000000001,0.274829184838784,474.55787500555533,1113.0
0.8,0.30117840209393626,486.0642933751296,1217.0
0.9,0.3652478205269115,478.1234698997531,1113.0
1.0,0.3655216216802292,493.6193229997601,1217.0
2.0,0.542512465069508,507.31865700561,1841.0
3.0,0.6397137892776091,507.7726050710335,2257.0
4.0,0.6730998526627785,514.1337010823067,2361.0
5.0,0.6980878257723863,529.0602509482222,2569.0
6.0,0.7467468757870294,524.1118285546427,2569.0
7.0,0.7605835668604578,529.1842330168347,2881.0
8.0,0.7913124654576804,537.3534946886106,2881.0
9.0,0.8012161665660442,540.8057536848055,2881.0
10.0,0.8272490970899603,539.0145722925271,2881.0
11.0,0.8309474961489361,545.891531043666,2881.0
12.0,0.8363805297640637,558.2632041838399,2881.0
13.0,0.8595264286208703,555.380357504995,2985.0
14.0,0.8614917049903783,558.6188645147595,2985.0
15.0,0.8764009147186269,562.9137417507059,3089.0
16.0,0.897802076474147,566.6911623240198,3089.0
17.0,0.9011842708882402,567.6478411926602,3089.0
18.0,0.8992276255378246,570.7353638661941,3089.0
19.0,0.9002439173062969,571.146455057331,2985.0
20.0,0.9034370439985235,573.6404503596654,3089.0
