,correlation,rmsd
0.1,-0.14528636315970855,241.0883548506475
0.2,0.007209278876848627,245.8582202651911
0.30000000000000004,0.0723358589384316,247.05897906969565
0.4,0.08963356938422576,263.6005302399989
0.5,0.1526835813163212,257.5051987142549
0.6,0.19307361398021378,258.158588944863
0.7000000000000001,0.23981185014241893,256.04270328487223
0.8,0.26190291357387446,255.38769827801212
0.9,0.28682402833388476,260.6742444927789
1.0,0.2835415136783424,269.07416671979774
2.0,0.4206151914882115,307.94492499859734
3.0,0.5052834688590516,311.309852537527
4.0,0.5866248035964053,311.7555048894392
5.0,0.6127455146485612,313.2552979033145
6.0,0.6495193284350763,371.6516656074641
7.0,0.6509551487455439,381.2766539290966
8.0,0.693801617174732,387.23894681380597
9.0,0.7140261580946884,393.186770888385
10.0,0.7178781057653795,395.0967016713568
11.0,0.7287174514130615,398.8173507084157
12.0,0.7435999536757277,408.0061551520428
13.0,0.7600608054608712,407.29466878027466
14.0,0.7585603093096174,407.24806408505873
15.0,0.777530689266897,407.94264538481724
16.0,0.7792956004538972,411.1397948154065
17.0,0.7935207125743826,407.90257699810525
18.0,0.7984554973393944,402.9311138172743
19.0,0.807203851129474,405.08801949040765
20.0,0.8105578366249023,407.11149542990347
