,correlation,rmsd,amp_diff,xcorr,xcorr_shift
0.1,-0.02138421841365768,243.6015555335805,177.0,0.6331426630627579,13
0.2,0.13279526937661154,257.0621793338402,385.0,0.6672490468643507,11
0.30000000000000004,0.24973463060467468,253.66777583701943,593.0,0.6869117516491391,11
0.4,0.32085962353009484,259.8215325377545,697.0,0.711169119507839,10
0.5,0.39257201456509594,258.6775804846322,801.0,0.707315788687557,10
0.6,0.43022350658344444,259.3348705321833,801.0,0.7654263518234675,9
0.7000000000000001,0.4439927931280049,261.39378176129014,801.0,0.7827318894036536,8
0.8,0.4813516334318314,259.6256736583329,801.0,0.8014302769220716,8
0.9,0.47426679110939574,262.73000715497943,905.0,0.8021059417346235,8
1.0,0.5000404941801032,261.75044624882446,1009.0,0.8237668025505526,8
2.0,0.6319428992175992,268.1114528933071,1425.0,0.8753002961074187,7
3.0,0.686960989135282,279.39805945412576,1425.0,0.8977152502652748,6
4.0,0.7281689735622227,293.33517066949275,1529.0,0.9007130945260792,5
5.0,0.7839725082173893,290.5807651539625,1529.0,0.91934674317077,4
6.0,0.7989428056673433,312.24203768555327,1737.0,0.9290252297490742,4
7.0,0.8229079089858482,324.61216375384595,1737.0,0.9218467797186298,4
8.0,0.8423590185856406,338.34652150499363,1945.0,0.9291238834173129,3
9.0,0.856061987601018,339.25827213270895,1945.0,0.9323478549556187,3
10.0,0.8467477097907179,347.7579147036659,2257.0,0.9223534483661272,3
11.0,0.864910440030793,359.72720032528196,2361.0,0.9321202719879741,3
12.0,0.8701384138495744,373.2116891183661,2361.0,0.9358191837480234,3
13.0,0.8783644808065727,379.18370821505624,2361.0,0.9292123050694051,3
14.0,0.8789926131570813,389.5267941007066,2569.0,0.9308598938416178,3
15.0,0.8878503990804679,390.98057096100865,2569.0,0.9318855611678221,3
16.0,0.8976109655490849,389.5911246957979,2465.0,0.9432642254116421,2
17.0,0.9059734949059044,399.8807811235732,2569.0,0.9419305427921578,2
18.0,0.9019748129516918,411.8888170773828,2673.0,0.9347369835227768,2
19.0,0.9085327374062767,407.6987751163998,2673.0,0.9353878526946768,2
20.0,0.9191699883932009,418.29895786024565,2673.0,0.9427717583794013,2
