years,ref
1593,820
1600,820
1620,820
1640,570
1679,120
1686,260
1700,260
1706,380
1720,560
1768,240
1773,512
1776,642
1777,662
1778,712
1786,512
1792,362
1803,302
1810,422
1813,502
1815,472
1820,782
1822,782
1826,722
1832,702
1838,672
1840,702
1854,812
1855,812
1856,782
1862,572
1868,402
1879,0
1880,-1
1881,29
1894,80
1895,90
1896,87
1897,111
1898,116
1899,113
1900,125
1901,119
1902,119
1903,137
1904,125
1905,93
1906,80
1907,37
1908,3
1909,-13
1910,-24
1911,-24
1912,-4
1913,13
1914,51
1916,113
1917,143
1918,206
1919,226
1920,271
1921,284
1922,289
1923,291
1924,289
1925,274
1926,264
1927,258
1928,248
1929,238
1930,197
1931,178
1932,149
1933,137
1935,69
1936,55
1937,38
1938,8
1942,-30
1943,-34
1945,-58
1946,-64
1947,-87
1948,-93
1950,-144
1951,-144
1953,-211
1954,-222
1959,-364
1960,-355
1961,-339
1962,-343
1963,-332
1964,-328
1965,-318
1966,-303
1967,-273
1968,-243
1969,-218
1970,-178
1971,-128
1972,-60
1973,-20
1974,15
1975,32
1976,32
1977,44
1978,50
1979,57
1980,64
1981,86
1982,151
1983,187
1984,187
1985,212
1986,197
1987,213
1988,211
1989,191
1990,182
1991,129
1992,79
1993,19
1994,-43
1995,-50
1996,-120
1997,-130
1998,-145
1999,-170
2000,-220
