 

stn;time;htoauths
SLFFIR;1998101606;-
SLFFIR;1998101607;-
SLFFIR;1998101608;0
SLFFIR;1998101609;463
SLFFIR;1998101610;5
SLFFIR;1998101611;5
SLFFIR;1998101612;3
SLFFIR;1998101613;5
SLFFIR;1998101614;6
SLFFIR;1998101615;5
SLFFIR;1998101616;5
SLFFIR;1998101617;6
SLFFIR;1998101618;6
SLFFIR;1998101619;6
SLFFIR;1998101620;6
SLFFIR;1998101621;6
SLFFIR;1998101622;6
SLFFIR;1998101623;6
SLFFIR;1998101700;6
SLFFIR;1998101701;6
SLFFIR;1998101702;6
SLFFIR;1998101703;6
SLFFIR;1998101704;6
SLFFIR;1998101705;6
SLFFIR;1998101706;6
SLFFIR;1998101707;6
SLFFIR;1998101708;6
SLFFIR;1998101709;6
SLFFIR;1998101710;6
SLFFIR;1998101711;6
SLFFIR;1998101712;6
SLFFIR;1998101713;5
SLFFIR;1998101714;6
SLFFIR;1998101715;5
SLFFIR;1998101716;5
SLFFIR;1998101717;6
SLFFIR;1998101718;6
SLFFIR;1998101719;6
SLFFIR;1998101720;6
SLFFIR;1998101721;6
SLFFIR;1998101722;6
SLFFIR;1998101723;6
SLFFIR;1998101800;7
SLFFIR;1998101801;6
SLFFIR;1998101802;7
SLFFIR;1998101803;8
SLFFIR;1998101804;8
SLFFIR;1998101805;8
SLFFIR;1998101806;8
SLFFIR;1998101807;8
SLFFIR;1998101808;8
SLFFIR;1998101809;8
SLFFIR;1998101810;8
SLFFIR;1998101811;7
SLFFIR;1998101812;7
SLFFIR;1998101813;7
SLFFIR;1998101814;7
SLFFIR;1998101815;7
SLFFIR;1998101816;7
SLFFIR;1998101817;7
SLFFIR;1998101818;7
SLFFIR;1998101819;7
SLFFIR;1998101820;7
SLFFIR;1998101821;7
SLFFIR;1998101822;7
SLFFIR;1998101823;7
SLFFIR;1998101900;7
SLFFIR;1998101901;8
SLFFIR;1998101902;7
SLFFIR;1998101903;7
SLFFIR;1998101904;7
SLFFIR;1998101905;7
SLFFIR;1998101906;7
SLFFIR;1998101907;7
SLFFIR;1998101908;7
SLFFIR;1998101909;8
SLFFIR;1998101910;8
SLFFIR;1998101911;8
SLFFIR;1998101912;9
SLFFIR;1998101913;8
SLFFIR;1998101914;8
SLFFIR;1998101915;8
SLFFIR;1998101916;8
SLFFIR;1998101917;9
SLFFIR;1998101918;7
SLFFIR;1998101919;9
SLFFIR;1998101920;12
SLFFIR;1998101921;13
SLFFIR;1998101922;14
SLFFIR;1998101923;14
SLFFIR;1998102000;14
SLFFIR;1998102001;14
SLFFIR;1998102002;14
SLFFIR;1998102003;11
SLFFIR;1998102004;11
SLFFIR;1998102005;13
SLFFIR;1998102006;12
SLFFIR;1998102007;13
SLFFIR;1998102008;11
SLFFIR;1998102009;11
SLFFIR;1998102010;11
SLFFIR;1998102011;11
SLFFIR;1998102012;11
SLFFIR;1998102013;10
SLFFIR;1998102014;10
SLFFIR;1998102015;11
SLFFIR;1998102016;11
SLFFIR;1998102017;11
SLFFIR;1998102018;11
SLFFIR;1998102019;11
SLFFIR;1998102020;11
SLFFIR;1998102021;11
SLFFIR;1998102022;11
SLFFIR;1998102023;11
SLFFIR;1998102100;11
SLFFIR;1998102101;11
SLFFIR;1998102102;10
SLFFIR;1998102103;10
SLFFIR;1998102104;10
SLFFIR;1998102105;11
SLFFIR;1998102106;11
SLFFIR;1998102107;11
SLFFIR;1998102108;11
SLFFIR;1998102109;10
SLFFIR;1998102110;9
SLFFIR;1998102111;7
SLFFIR;1998102112;7
SLFFIR;1998102113;8
SLFFIR;1998102114;8
SLFFIR;1998102115;7
SLFFIR;1998102116;7
SLFFIR;1998102117;7
SLFFIR;1998102118;8
SLFFIR;1998102119;8
SLFFIR;1998102120;7
SLFFIR;1998102121;7
SLFFIR;1998102122;8
SLFFIR;1998102123;8
SLFFIR;1998102200;8
SLFFIR;1998102201;8
SLFFIR;1998102202;7
SLFFIR;1998102203;7
SLFFIR;1998102204;7
SLFFIR;1998102205;8
SLFFIR;1998102206;7
SLFFIR;1998102207;7
SLFFIR;1998102208;7
SLFFIR;1998102209;7
SLFFIR;1998102210;6
SLFFIR;1998102211;5
SLFFIR;1998102212;6
SLFFIR;1998102213;6
SLFFIR;1998102214;6
SLFFIR;1998102215;6
SLFFIR;1998102216;7
SLFFIR;1998102217;6
SLFFIR;1998102218;6
SLFFIR;1998102219;6
SLFFIR;1998102220;6
SLFFIR;1998102221;6
SLFFIR;1998102222;5
SLFFIR;1998102223;6
SLFFIR;1998102300;6
SLFFIR;1998102301;6
SLFFIR;1998102302;5
SLFFIR;1998102303;5
SLFFIR;1998102304;6
SLFFIR;1998102305;6
SLFFIR;1998102306;5
SLFFIR;1998102307;6
SLFFIR;1998102308;5
SLFFIR;1998102309;5
SLFFIR;1998102310;6
SLFFIR;1998102311;5
SLFFIR;1998102312;5
SLFFIR;1998102313;6
SLFFIR;1998102314;5
SLFFIR;1998102315;5
SLFFIR;1998102316;6
SLFFIR;1998102317;5
SLFFIR;1998102318;5
