 

stn;time;rre024i0
SLFFIR;2000092014;-
SLFFIR;2000092015;-
SLFFIR;2000092016;23.0
SLFFIR;2000092017;30.0
SLFFIR;2000092018;37.2
SLFFIR;2000092019;38.6
SLFFIR;2000092020;39.0
SLFFIR;2000092021;39.4
SLFFIR;2000092022;40.8
SLFFIR;2000092023;43.6
SLFFIR;2000092100;44.6
SLFFIR;2000092101;44.6
SLFFIR;2000092102;43.2
SLFFIR;2000092103;38.8
SLFFIR;2000092104;35.6
SLFFIR;2000092105;28.6
SLFFIR;2000092106;28.6
SLFFIR;2000092107;28.6
SLFFIR;2000092108;28.6
SLFFIR;2000092109;28.6
SLFFIR;2000092110;28.6
SLFFIR;2000092111;29.0
SLFFIR;2000092112;29.4
SLFFIR;2000092113;29.2
SLFFIR;2000092114;29.4
SLFFIR;2000092115;29.4
SLFFIR;2000092116;26.8
SLFFIR;2000092117;20.2
SLFFIR;2000092118;13.2
SLFFIR;2000092119;11.8
SLFFIR;2000092120;11.4
SLFFIR;2000092121;11.0
SLFFIR;2000092122;9.6
SLFFIR;2000092123;6.8
SLFFIR;2000092200;5.8
SLFFIR;2000092201;5.8
SLFFIR;2000092202;5.6
SLFFIR;2000092203;5.6
SLFFIR;2000092204;5.6
SLFFIR;2000092205;5.8
SLFFIR;2000092206;5.8
SLFFIR;2000092207;6.2
SLFFIR;2000092208;6.8
SLFFIR;2000092209;7.6
SLFFIR;2000092210;9.0
SLFFIR;2000092211;9.2
SLFFIR;2000092212;11.2
SLFFIR;2000092213;11.8
SLFFIR;2000092214;11.2
SLFFIR;2000092215;10.6
SLFFIR;2000092216;9.8
SLFFIR;2000092217;9.4
SLFFIR;2000092218;9.2
SLFFIR;2000092219;9.2
SLFFIR;2000092220;9.2
SLFFIR;2000092221;9.2
SLFFIR;2000092222;9.2
SLFFIR;2000092223;9.2
SLFFIR;2000092300;9.2
SLFFIR;2000092301;9.2
SLFFIR;2000092302;9.2
SLFFIR;2000092303;9.2
SLFFIR;2000092304;9.2
SLFFIR;2000092305;9.0
SLFFIR;2000092306;9.0
SLFFIR;2000092307;8.6
SLFFIR;2000092308;8.0
SLFFIR;2000092309;7.2
SLFFIR;2000092310;5.8
SLFFIR;2000092311;5.2
SLFFIR;2000092312;2.4
SLFFIR;2000092313;0.8
SLFFIR;2000092314;0.4
SLFFIR;2000092315;0.0
SLFFIR;2000092316;0.0
SLFFIR;2000092317;0.0
SLFFIR;2000092318;0.0
SLFFIR;2000092319;0.0
SLFFIR;2000092320;0.0
SLFFIR;2000092321;0.0
SLFFIR;2000092322;0.0
SLFFIR;2000092323;0.0
SLFFIR;2000092400;0.0
SLFFIR;2000092401;0.0
SLFFIR;2000092402;0.0
SLFFIR;2000092403;0.0
SLFFIR;2000092404;0.0
SLFFIR;2000092405;0.0
SLFFIR;2000092406;0.0
SLFFIR;2000092407;0.0
SLFFIR;2000092408;0.0
SLFFIR;2000092409;0.0
SLFFIR;2000092410;0.0
SLFFIR;2000092411;0.0
SLFFIR;2000092412;0.0
SLFFIR;2000092413;0.0
SLFFIR;2000092414;0.0
SLFFIR;2000092415;0.0
SLFFIR;2000092416;0.0
SLFFIR;2000092417;0.0
SLFFIR;2000092418;0.0
SLFFIR;2000092419;0.0
SLFFIR;2000092420;0.0
SLFFIR;2000092421;0.0
SLFFIR;2000092422;0.0
SLFFIR;2000092423;0.0
SLFFIR;2000092500;0.0
SLFFIR;2000092501;0.0
SLFFIR;2000092502;0.0
SLFFIR;2000092503;0.0
SLFFIR;2000092504;0.0
SLFFIR;2000092505;0.0
SLFFIR;2000092506;0.0
SLFFIR;2000092507;0.0
SLFFIR;2000092508;0.0
SLFFIR;2000092509;0.0
SLFFIR;2000092510;0.0
SLFFIR;2000092511;0.0
SLFFIR;2000092512;0.0
SLFFIR;2000092513;0.0
SLFFIR;2000092514;0.0
SLFFIR;2000092515;0.0
SLFFIR;2000092516;0.0
SLFFIR;2000092517;0.0
SLFFIR;2000092518;0.0
SLFFIR;2000092519;0.0
SLFFIR;2000092520;0.0
SLFFIR;2000092521;0.0
SLFFIR;2000092522;0.0
SLFFIR;2000092523;0.0
SLFFIR;2000092600;0.0
SLFFIR;2000092601;0.0
SLFFIR;2000092602;0.0
SLFFIR;2000092603;0.0
SLFFIR;2000092604;0.0
SLFFIR;2000092605;0.0
SLFFIR;2000092606;0.0
SLFFIR;2000092607;0.0
SLFFIR;2000092608;0.0
SLFFIR;2000092609;0.0
SLFFIR;2000092610;0.0
SLFFIR;2000092611;0.0
SLFFIR;2000092612;0.0
SLFFIR;2000092613;0.0
SLFFIR;2000092614;0.0
SLFFIR;2000092615;0.0
SLFFIR;2000092616;0.0
SLFFIR;2000092617;0.0
SLFFIR;2000092618;0.0
SLFFIR;2000092619;0.0
SLFFIR;2000092620;0.0
SLFFIR;2000092621;0.0
SLFFIR;2000092622;0.0
SLFFIR;2000092623;0.0
SLFFIR;2000092700;0.0
SLFFIR;2000092701;0.0
SLFFIR;2000092702;0.0
SLFFIR;2000092703;0.0
SLFFIR;2000092704;0.0
SLFFIR;2000092705;0.0
SLFFIR;2000092706;0.0
SLFFIR;2000092707;0.0
SLFFIR;2000092708;0.0
SLFFIR;2000092709;0.0
SLFFIR;2000092710;0.0
SLFFIR;2000092711;0.0
SLFFIR;2000092712;0.0
SLFFIR;2000092713;0.0
SLFFIR;2000092714;0.0
SLFFIR;2000092715;0.0
SLFFIR;2000092716;0.0
SLFFIR;2000092717;0.0
SLFFIR;2000092718;0.0
SLFFIR;2000092719;0.0
SLFFIR;2000092720;0.0
SLFFIR;2000092721;0.0
SLFFIR;2000092722;0.0
SLFFIR;2000092723;0.0
SLFFIR;2000092800;0.0
SLFFIR;2000092801;0.0
SLFFIR;2000092802;0.0
SLFFIR;2000092803;0.0
SLFFIR;2000092804;0.0
SLFFIR;2000092805;0.0
SLFFIR;2000092806;0.0
SLFFIR;2000092807;0.0
SLFFIR;2000092808;0.0
SLFFIR;2000092809;0.0
SLFFIR;2000092810;0.0
SLFFIR;2000092811;0.0
SLFFIR;2000092812;0.0
SLFFIR;2000092813;0.0
SLFFIR;2000092814;0.0
SLFFIR;2000092815;0.0
SLFFIR;2000092816;0.0
SLFFIR;2000092817;0.0
SLFFIR;2000092818;0.0
SLFFIR;2000092819;0.0
SLFFIR;2000092820;0.0
SLFFIR;2000092821;0.0
SLFFIR;2000092822;0.0
SLFFIR;2000092823;0.0
SLFFIR;2000092900;0.0
SLFFIR;2000092901;0.0
SLFFIR;2000092902;0.0
SLFFIR;2000092903;0.0
SLFFIR;2000092904;0.0
SLFFIR;2000092905;0.0
SLFFIR;2000092906;0.0
SLFFIR;2000092907;0.0
SLFFIR;2000092908;0.0
SLFFIR;2000092909;0.0
SLFFIR;2000092910;0.0
SLFFIR;2000092911;0.0
SLFFIR;2000092912;0.0
SLFFIR;2000092913;0.0
SLFFIR;2000092914;0.0
SLFFIR;2000092915;0.0
SLFFIR;2000092916;0.0
SLFFIR;2000092917;0.0
SLFFIR;2000092918;0.0
SLFFIR;2000092919;0.0
SLFFIR;2000092920;0.0
SLFFIR;2000092921;0.0
SLFFIR;2000092922;0.0
SLFFIR;2000092923;0.0
SLFFIR;2000093000;0.0
SLFFIR;2000093001;0.0
SLFFIR;2000093002;0.0
SLFFIR;2000093003;0.0
SLFFIR;2000093004;0.6
SLFFIR;2000093005;1.2
SLFFIR;2000093006;1.8
SLFFIR;2000093007;3.0
SLFFIR;2000093008;4.4
SLFFIR;2000093009;6.0
SLFFIR;2000093010;7.8
SLFFIR;2000093011;10.0
SLFFIR;2000093012;11.8
SLFFIR;2000093013;13.2
SLFFIR;2000093014;15.4
SLFFIR;2000093015;16.8
SLFFIR;2000093016;18.6
SLFFIR;2000093017;19.6
SLFFIR;2000093018;20.6
SLFFIR;2000093019;21.6
SLFFIR;2000093020;22.6
SLFFIR;2000093021;23.6
SLFFIR;2000093022;24.2
SLFFIR;2000093023;24.2
SLFFIR;2000100100;24.2
SLFFIR;2000100101;24.6
SLFFIR;2000100102;24.6
SLFFIR;2000100103;24.8
SLFFIR;2000100104;25.6
SLFFIR;2000100105;26.2
SLFFIR;2000100106;26.0
SLFFIR;2000100107;25.0
SLFFIR;2000100108;23.6
SLFFIR;2000100109;22.0
SLFFIR;2000100110;20.2
SLFFIR;2000100111;18.0
SLFFIR;2000100112;16.2
SLFFIR;2000100113;14.8
SLFFIR;2000100114;12.6
SLFFIR;2000100115;11.6
SLFFIR;2000100116;11.6
SLFFIR;2000100117;10.6
SLFFIR;2000100118;9.6
SLFFIR;2000100119;8.6
SLFFIR;2000100120;7.6
SLFFIR;2000100121;8.0
SLFFIR;2000100122;8.6
SLFFIR;2000100123;8.8
SLFFIR;2000100200;8.8
SLFFIR;2000100201;8.8
SLFFIR;2000100202;9.0
SLFFIR;2000100203;8.8
SLFFIR;2000100204;8.2
SLFFIR;2000100205;9.0
SLFFIR;2000100206;8.6
SLFFIR;2000100207;8.4
SLFFIR;2000100208;8.6
SLFFIR;2000100209;9.8
SLFFIR;2000100210;10.2
SLFFIR;2000100211;10.6
SLFFIR;2000100212;11.0
SLFFIR;2000100213;11.4
SLFFIR;2000100214;11.6
SLFFIR;2000100215;11.4
SLFFIR;2000100216;9.6
SLFFIR;2000100217;9.6
SLFFIR;2000100218;9.6
SLFFIR;2000100219;9.6
SLFFIR;2000100220;9.6
SLFFIR;2000100221;8.2
SLFFIR;2000100222;7.0
SLFFIR;2000100223;6.8
SLFFIR;2000100300;6.8
SLFFIR;2000100301;6.4
SLFFIR;2000100302;6.2
SLFFIR;2000100303;6.2
SLFFIR;2000100304;5.4
SLFFIR;2000100305;3.4
SLFFIR;2000100306;3.4
SLFFIR;2000100307;3.4
SLFFIR;2000100308;3.2
SLFFIR;2000100309;2.0
SLFFIR;2000100310;1.8
SLFFIR;2000100311;1.6
SLFFIR;2000100312;1.4
SLFFIR;2000100313;1.8
SLFFIR;2000100314;2.2
SLFFIR;2000100315;2.6
SLFFIR;2000100316;3.4
SLFFIR;2000100317;3.8
SLFFIR;2000100318;4.2
SLFFIR;2000100319;4.4
SLFFIR;2000100320;4.6
SLFFIR;2000100321;4.6
SLFFIR;2000100322;4.6
SLFFIR;2000100323;4.8
SLFFIR;2000100400;5.2
SLFFIR;2000100401;5.6
SLFFIR;2000100402;6.2
SLFFIR;2000100403;6.6
SLFFIR;2000100404;7.0
SLFFIR;2000100405;7.2
SLFFIR;2000100406;7.6
SLFFIR;2000100407;7.8
SLFFIR;2000100408;8.4
SLFFIR;2000100409;9.4
SLFFIR;2000100410;10.6
SLFFIR;2000100411;12.4
SLFFIR;2000100412;14.4
SLFFIR;2000100413;14.2
SLFFIR;2000100414;13.6
SLFFIR;2000100415;13.0
SLFFIR;2000100416;12.2
SLFFIR;2000100417;11.8
SLFFIR;2000100418;11.4
SLFFIR;2000100419;11.2
SLFFIR;2000100420;11.0
SLFFIR;2000100421;11.0
SLFFIR;2000100422;11.0
SLFFIR;2000100423;10.8
SLFFIR;2000100500;10.4
SLFFIR;2000100501;10.0
SLFFIR;2000100502;9.4
SLFFIR;2000100503;9.0
SLFFIR;2000100504;8.6
SLFFIR;2000100505;8.4
SLFFIR;2000100506;8.0
SLFFIR;2000100507;7.8
SLFFIR;2000100508;7.2
SLFFIR;2000100509;6.2
SLFFIR;2000100510;4.8
SLFFIR;2000100511;2.8
SLFFIR;2000100512;0.6
SLFFIR;2000100513;0.0
SLFFIR;2000100514;0.0
SLFFIR;2000100515;0.0
SLFFIR;2000100516;0.0
SLFFIR;2000100517;0.4
SLFFIR;2000100518;0.8
SLFFIR;2000100519;1.8
SLFFIR;2000100520;2.6
SLFFIR;2000100521;3.8
SLFFIR;2000100522;5.6
SLFFIR;2000100523;6.8
SLFFIR;2000100600;7.6
SLFFIR;2000100601;8.4
SLFFIR;2000100602;8.8
SLFFIR;2000100603;9.2
SLFFIR;2000100604;10.0
SLFFIR;2000100605;10.4
SLFFIR;2000100606;10.4
SLFFIR;2000100607;10.4
SLFFIR;2000100608;10.4
SLFFIR;2000100609;10.4
SLFFIR;2000100610;10.4
SLFFIR;2000100611;10.4
SLFFIR;2000100612;10.4
SLFFIR;2000100613;10.4
SLFFIR;2000100614;10.4
SLFFIR;2000100615;10.4
SLFFIR;2000100616;10.4
SLFFIR;2000100617;10.0
SLFFIR;2000100618;9.6
SLFFIR;2000100619;8.6
SLFFIR;2000100620;7.8
SLFFIR;2000100621;6.6
SLFFIR;2000100622;4.8
SLFFIR;2000100623;3.6
SLFFIR;2000100700;2.8
SLFFIR;2000100701;2.0
SLFFIR;2000100702;1.6
SLFFIR;2000100703;1.2
SLFFIR;2000100704;0.4
SLFFIR;2000100705;0.0
SLFFIR;2000100706;0.0
SLFFIR;2000100707;0.0
SLFFIR;2000100708;0.0
SLFFIR;2000100709;0.0
SLFFIR;2000100710;0.0
SLFFIR;2000100711;0.0
SLFFIR;2000100712;0.0
SLFFIR;2000100713;0.0
SLFFIR;2000100714;0.0
SLFFIR;2000100715;0.0
SLFFIR;2000100716;0.0
SLFFIR;2000100717;0.0
SLFFIR;2000100718;0.0
SLFFIR;2000100719;0.0
SLFFIR;2000100720;0.0
SLFFIR;2000100721;0.0
SLFFIR;2000100722;0.0
SLFFIR;2000100723;0.0
SLFFIR;2000100800;0.0
SLFFIR;2000100801;0.0
SLFFIR;2000100802;0.0
SLFFIR;2000100803;0.0
SLFFIR;2000100804;0.0
SLFFIR;2000100805;0.0
SLFFIR;2000100806;0.0
SLFFIR;2000100807;0.0
SLFFIR;2000100808;0.2
SLFFIR;2000100809;0.2
SLFFIR;2000100810;0.6
SLFFIR;2000100811;1.4
SLFFIR;2000100812;2.4
SLFFIR;2000100813;3.6
SLFFIR;2000100814;4.6
SLFFIR;2000100815;5.0
SLFFIR;2000100816;5.2
SLFFIR;2000100817;5.4
SLFFIR;2000100818;5.4
SLFFIR;2000100819;5.6
SLFFIR;2000100820;5.6
SLFFIR;2000100821;5.6
SLFFIR;2000100822;5.8
SLFFIR;2000100823;5.8
SLFFIR;2000100900;5.8
SLFFIR;2000100901;5.8
SLFFIR;2000100902;5.8
SLFFIR;2000100903;5.8
SLFFIR;2000100904;5.8
SLFFIR;2000100905;5.8
SLFFIR;2000100906;5.8
SLFFIR;2000100907;5.8
SLFFIR;2000100908;5.6
SLFFIR;2000100909;5.6
SLFFIR;2000100910;5.2
SLFFIR;2000100911;5.2
SLFFIR;2000100912;5.2
SLFFIR;2000100913;5.0
SLFFIR;2000100914;4.6
SLFFIR;2000100915;4.6
SLFFIR;2000100916;4.6
SLFFIR;2000100917;4.6
SLFFIR;2000100918;4.6
SLFFIR;2000100919;4.4
SLFFIR;2000100920;4.4
SLFFIR;2000100921;4.4
SLFFIR;2000100922;4.2
SLFFIR;2000100923;4.2
SLFFIR;2000101000;4.4
SLFFIR;2000101001;4.4
SLFFIR;2000101002;4.4
SLFFIR;2000101003;4.6
SLFFIR;2000101004;4.6
SLFFIR;2000101005;4.6
SLFFIR;2000101006;4.8
SLFFIR;2000101007;5.2
SLFFIR;2000101008;5.4
SLFFIR;2000101009;5.6
SLFFIR;2000101010;6.0
SLFFIR;2000101011;5.4
SLFFIR;2000101012;4.4
SLFFIR;2000101013;3.4
SLFFIR;2000101014;2.8
SLFFIR;2000101015;2.4
SLFFIR;2000101016;2.2
SLFFIR;2000101017;2.0
SLFFIR;2000101018;2.0
SLFFIR;2000101019;2.0
SLFFIR;2000101020;2.0
SLFFIR;2000101021;2.0
SLFFIR;2000101022;2.0
SLFFIR;2000101023;2.0
SLFFIR;2000101100;1.8
SLFFIR;2000101101;1.8
SLFFIR;2000101102;1.8
SLFFIR;2000101103;1.8
SLFFIR;2000101104;1.8
SLFFIR;2000101105;1.8
SLFFIR;2000101106;1.8
SLFFIR;2000101107;1.6
SLFFIR;2000101108;1.8
SLFFIR;2000101109;2.0
SLFFIR;2000101110;2.2
SLFFIR;2000101111;2.6
SLFFIR;2000101112;2.8
SLFFIR;2000101113;3.0
SLFFIR;2000101114;3.2
SLFFIR;2000101115;4.0
SLFFIR;2000101116;5.0
SLFFIR;2000101117;5.6
SLFFIR;2000101118;6.2
SLFFIR;2000101119;6.6
SLFFIR;2000101120;7.0
SLFFIR;2000101121;7.4
SLFFIR;2000101122;7.6
SLFFIR;2000101123;7.8
SLFFIR;2000101200;8.2
SLFFIR;2000101201;8.4
SLFFIR;2000101202;8.6
SLFFIR;2000101203;8.4
SLFFIR;2000101204;8.6
SLFFIR;2000101205;8.6
SLFFIR;2000101206;8.4
SLFFIR;2000101207;8.2
SLFFIR;2000101208;7.8
SLFFIR;2000101209;7.6
SLFFIR;2000101210;7.2
SLFFIR;2000101211;6.8
SLFFIR;2000101212;7.0
SLFFIR;2000101213;7.0
SLFFIR;2000101214;7.0
SLFFIR;2000101215;6.2
SLFFIR;2000101216;5.2
SLFFIR;2000101217;4.6
SLFFIR;2000101218;4.0
SLFFIR;2000101219;3.6
SLFFIR;2000101220;3.2
SLFFIR;2000101221;2.8
SLFFIR;2000101222;2.6
SLFFIR;2000101223;2.4
SLFFIR;2000101300;2.0
SLFFIR;2000101301;1.8
SLFFIR;2000101302;2.4
SLFFIR;2000101303;3.2
SLFFIR;2000101304;3.4
SLFFIR;2000101305;3.6
SLFFIR;2000101306;4.8
SLFFIR;2000101307;5.6
SLFFIR;2000101308;5.8
SLFFIR;2000101309;7.6
SLFFIR;2000101310;10.6
SLFFIR;2000101311;12.0
SLFFIR;2000101312;14.2
SLFFIR;2000101313;15.6
SLFFIR;2000101314;17.2
SLFFIR;2000101315;19.4
SLFFIR;2000101316;22.0
SLFFIR;2000101317;24.0
SLFFIR;2000101318;24.6
SLFFIR;2000101319;27.2
SLFFIR;2000101320;30.2
SLFFIR;2000101321;32.8
SLFFIR;2000101322;34.0
SLFFIR;2000101323;35.2
SLFFIR;2000101400;36.0
SLFFIR;2000101401;37.4
SLFFIR;2000101402;38.2
SLFFIR;2000101403;39.0
SLFFIR;2000101404;40.8
SLFFIR;2000101405;41.2
SLFFIR;2000101406;41.2
SLFFIR;2000101407;41.6
SLFFIR;2000101408;42.6
SLFFIR;2000101409;42.0
SLFFIR;2000101410;38.8
SLFFIR;2000101411;37.2
SLFFIR;2000101412;34.6
SLFFIR;2000101413;33.0
SLFFIR;2000101414;31.2
SLFFIR;2000101415;29.0
SLFFIR;2000101416;26.4
SLFFIR;2000101417;24.4
SLFFIR;2000101418;23.8
SLFFIR;2000101419;21.4
SLFFIR;2000101420;18.4
SLFFIR;2000101421;16.6
SLFFIR;2000101422;16.0
SLFFIR;2000101423;15.8
SLFFIR;2000101500;16.4
SLFFIR;2000101501;18.4
SLFFIR;2000101502;18.6
SLFFIR;2000101503;18.6
SLFFIR;2000101504;19.6
SLFFIR;2000101505;20.0
SLFFIR;2000101506;19.0
SLFFIR;2000101507;18.6
SLFFIR;2000101508;18.0
SLFFIR;2000101509;16.8
SLFFIR;2000101510;16.8
SLFFIR;2000101511;17.0
SLFFIR;2000101512;17.0
SLFFIR;2000101513;17.0
SLFFIR;2000101514;17.0
SLFFIR;2000101515;17.0
SLFFIR;2000101516;17.0
SLFFIR;2000101517;17.0
SLFFIR;2000101518;17.0
SLFFIR;2000101519;17.0
SLFFIR;2000101520;17.0
SLFFIR;2000101521;16.2
SLFFIR;2000101522;15.6
SLFFIR;2000101523;14.6
SLFFIR;2000101600;13.2
SLFFIR;2000101601;9.8
SLFFIR;2000101602;8.0
SLFFIR;2000101603;6.4
SLFFIR;2000101604;3.2
SLFFIR;2000101605;2.2
SLFFIR;2000101606;2.0
SLFFIR;2000101607;1.2
SLFFIR;2000101608;0.6
SLFFIR;2000101609;0.4
SLFFIR;2000101610;0.4
SLFFIR;2000101611;0.2
SLFFIR;2000101612;0.2
SLFFIR;2000101613;0.2
SLFFIR;2000101614;0.2
SLFFIR;2000101615;0.2
SLFFIR;2000101616;0.2
SLFFIR;2000101617;0.2
SLFFIR;2000101618;0.2
SLFFIR;2000101619;0.0
SLFFIR;2000101620;0.2
SLFFIR;2000101621;0.4
SLFFIR;2000101622;0.4
SLFFIR;2000101623;0.4
SLFFIR;2000101700;0.4
SLFFIR;2000101701;0.4
SLFFIR;2000101702;0.4
SLFFIR;2000101703;1.0
SLFFIR;2000101704;1.2
SLFFIR;2000101705;1.4
SLFFIR;2000101706;1.6
SLFFIR;2000101707;1.8
SLFFIR;2000101708;2.2
SLFFIR;2000101709;3.8
SLFFIR;2000101710;4.8
SLFFIR;2000101711;5.6
SLFFIR;2000101712;5.8
SLFFIR;2000101713;6.0
SLFFIR;2000101714;6.6
SLFFIR;2000101715;6.6
SLFFIR;2000101716;7.2
SLFFIR;2000101717;7.8
SLFFIR;2000101718;7.8
SLFFIR;2000101719;8.0
SLFFIR;2000101720;7.8
SLFFIR;2000101721;7.6
SLFFIR;2000101722;7.6
SLFFIR;2000101723;7.6
SLFFIR;2000101800;7.6
SLFFIR;2000101801;7.6
SLFFIR;2000101802;7.6
SLFFIR;2000101803;7.0
SLFFIR;2000101804;6.8
