 

stn;time;rre150m0
BEKSE;200809;150.3
BEKSE;200810;124.5
BEKSE;200811;88.8
BEKSE;200812;71.9
BEKSE;200901;34.8
BEKSE;200902;88.4
BEKSE;200903;90.5
BEKSE;200904;102.7
BEKSE;200905;69.8
BEKSE;200906;150.4
BEKSE;200907;194.2
BEKSE;200908;142.2
BEKSE;200909;55.6
BEKSE;200910;65.7
BEKSE;200911;134.9
BEKSE;200912;74.4
BEKSE;201001;28.4
BEKSE;201002;32.0
BEKSE;201003;41.3
BEKSE;201004;46.1
BEKSE;201005;175.6
BEKSE;201006;118.6
BEKSE;201007;184.1
BEKSE;201008;245.5
BEKSE;201009;140.3
BEKSE;201010;51.0
BEKSE;201011;83.6
BEKSE;201012;52.7
BEKSE;201101;28.4
BEKSE;201102;38.2
BEKSE;201103;53.3
BEKSE;201104;38.1
BEKSE;201105;151.2
BEKSE;201106;191.4
BEKSE;201107;208.4
BEKSE;201108;122.3
BEKSE;201109;87.1
BEKSE;201110;124.7
BEKSE;201111;2.7
BEKSE;201112;154.2
BEKSE;201201;82.2
BEKSE;201202;10.2
BEKSE;201203;48.4
BEKSE;201204;114.7
BEKSE;201205;107.7
BEKSE;201206;137.1
BEKSE;201207;177.4
BEKSE;201208;152.6
BEKSE;201209;86.1
BEKSE;201210;109.3
BEKSE;201211;75.6
BEKSE;201212;88.6
BEKSE;201301;46.7
BEKSE;201302;54.4
BEKSE;201303;33.0
BEKSE;201304;102.3
BEKSE;201305;231.0
BEKSE;201306;165.8
BEKSE;201307;148.9
BEKSE;201308;153.5
BEKSE;201309;149.7
BEKSE;201310;80.9
BEKSE;201311;113.0
BEKSE;201312;54.7
BEKSE;201401;68.7
BEKSE;201402;113.6
BEKSE;201403;50.8
BEKSE;201404;116.5
BEKSE;201405;157.8
BEKSE;201406;133.8
BEKSE;201407;357.6
BEKSE;201408;193.5
BEKSE;201409;80.8
BEKSE;201410;82.6
BEKSE;201411;130.0
BEKSE;201412;50.1
BEKSE;201501;80.1
BEKSE;201502;60.3
BEKSE;201503;70.5
BEKSE;201504;84.8
BEKSE;201505;203.4
BEKSE;201506;128.9
BEKSE;201507;78.4
BEKSE;201508;154.8
BEKSE;201509;119.6
BEKSE;201510;74.5
BEKSE;201511;60.7
BEKSE;201512;10.0
BEKSE;201601;53.5
BEKSE;201602;77.9
BEKSE;201603;43.9
BEKSE;201604;103.7
BEKSE;201605;213.9
BEKSE;201606;218.3
BEKSE;201607;167.3
BEKSE;201608;141.9
BEKSE;201609;127.4
BEKSE;201610;71.4
BEKSE;201611;63.2
BEKSE;201612;0.7
BEKSE;201701;51.2
BEKSE;201702;57.2
BEKSE;201703;83.8
BEKSE;201704;91.8
BEKSE;201705;127.0
BEKSE;201706;143.3
BEKSE;201707;152.7
BEKSE;201708;214.9
BEKSE;201709;110.1
BEKSE;201710;80.8
BEKSE;201711;102.1
BEKSE;201712;82.0
BEKSE;201801;134.1
BEKSE;201802;42.2
BEKSE;201803;133.7
BEKSE;201804;45.1
BEKSE;201805;140.1
BEKSE;201806;134.3
BEKSE;201807;125.7
