 

stn;time;rre150m0
EIG;190811;120.0
EIG;190812;94.0
EIG;190901;117.0
EIG;190902;75.0
EIG;190903;174.0
EIG;190904;104.0
EIG;190905;145.0
EIG;190906;252.0
EIG;190907;162.0
EIG;190908;154.0
EIG;190909;148.0
EIG;190910;165.0
EIG;190911;85.0
EIG;190912;217.0
EIG;191001;293.0
EIG;191002;156.0
EIG;191003;52.0
EIG;191004;206.0
EIG;191005;172.0
EIG;191006;201.0
EIG;191007;221.0
EIG;191008;245.0
EIG;191009;198.0
EIG;191010;178.0
EIG;191011;340.0
EIG;191012;142.0
EIG;191101;37.0
EIG;191102;104.0
EIG;191103;173.0
EIG;191104;115.0
EIG;191105;145.0
EIG;191106;242.0
EIG;191107;59.0
EIG;191108;108.0
EIG;191109;178.0
EIG;191110;219.0
EIG;191111;139.0
EIG;191112;259.0
EIG;191201;161.0
EIG;191202;65.0
EIG;191203;125.0
EIG;191204;138.0
EIG;191205;253.0
EIG;191206;241.0
EIG;191207;179.0
EIG;191208;207.0
EIG;191209;90.0
EIG;191210;241.0
EIG;191211;176.0
EIG;191212;81.0
EIG;191301;172.0
EIG;191302;56.0
EIG;191303;104.0
EIG;191304;215.0
EIG;191305;154.0
EIG;191306;233.0
EIG;191307;248.0
EIG;191308;148.0
EIG;191309;146.0
EIG;191310;75.0
EIG;191311;148.0
EIG;191312;119.0
EIG;191401;167.0
EIG;191402;111.0
EIG;191403;293.0
EIG;191404;74.0
EIG;191405;256.0
EIG;191406;232.0
EIG;191407;304.0
EIG;191408;222.0
EIG;191409;73.0
EIG;191410;130.0
EIG;191411;101.0
EIG;191412;77.0
EIG;191501;288.0
EIG;191502;165.0
EIG;191503;180.0
EIG;191504;134.0
EIG;191505;75.0
EIG;191506;171.0
EIG;191507;211.0
EIG;191508;153.0
EIG;191509;254.0
EIG;191510;55.0
EIG;191511;91.0
EIG;191512;144.0
EIG;191601;132.0
EIG;191602;268.0
EIG;191603;265.0
EIG;191604;216.0
EIG;191605;136.0
EIG;191606;186.0
EIG;191607;147.0
EIG;191608;168.0
EIG;191609;159.0
EIG;191610;162.0
EIG;191611;189.0
EIG;191612;193.0
EIG;191701;107.0
EIG;191702;30.0
EIG;191703;133.0
EIG;191704;239.0
EIG;191705;95.0
EIG;191706;136.0
EIG;191707;250.0
EIG;191708;226.0
EIG;191709;84.0
EIG;191710;269.0
EIG;191711;147.0
EIG;191712;90.0
EIG;191801;75.0
EIG;191802;76.0
EIG;191803;210.0
EIG;191804;244.0
EIG;191805;76.0
EIG;191806;319.0
EIG;191807;126.0
EIG;191808;186.0
EIG;191809;247.0
EIG;191810;184.0
EIG;191811;93.0
EIG;191812;328.0
EIG;191901;182.0
EIG;191902;96.0
EIG;191903;185.0
EIG;191904;330.0
EIG;191905;103.0
EIG;191906;163.0
EIG;191907;324.0
EIG;191908;172.0
EIG;191909;133.0
EIG;191910;311.0
EIG;191911;193.0
EIG;191912;234.0
EIG;192001;260.0
EIG;192002;63.0
EIG;192003;141.0
EIG;192004;195.0
EIG;192005;170.0
EIG;192006;198.0
EIG;192007;157.0
EIG;192008;103.0
EIG;192009;259.0
EIG;192010;108.0
EIG;192011;5.0
EIG;192012;59.0
EIG;192101;321.0
EIG;192102;35.0
EIG;192103;148.0
EIG;192104;249.0
EIG;192105;150.0
EIG;192106;99.0
EIG;192107;106.0
EIG;192108;123.0
EIG;192109;72.0
EIG;192110;38.0
EIG;192111;113.0
EIG;192112;82.0
EIG;192201;241.0
EIG;192202;93.0
EIG;192203;161.0
EIG;192204;293.0
EIG;192205;74.0
EIG;192206;198.0
EIG;192207;247.0
EIG;192208;207.0
EIG;192209;214.0
EIG;192210;135.0
EIG;192211;210.0
EIG;192212;231.0
EIG;192301;158.0
EIG;192302;181.0
EIG;192303;54.0
EIG;192304;195.0
EIG;192305;248.0
EIG;192306;174.0
EIG;192307;132.0
EIG;192308;145.0
EIG;192309;110.0
EIG;192310;177.0
EIG;192311;171.0
EIG;192312;430.0
EIG;192401;87.0
EIG;192402;58.0
EIG;192403;56.0
EIG;192404;157.0
EIG;192405;196.0
EIG;192406;282.0
EIG;192407;214.0
EIG;192408;255.0
EIG;192409;175.0
EIG;192410;115.0
EIG;192411;13.0
EIG;192412;78.0
EIG;192501;51.0
EIG;192502;204.0
EIG;192503;152.0
EIG;192504;182.0
EIG;192505;110.0
EIG;192506;177.0
EIG;192507;179.0
EIG;192508;303.0
EIG;192509;189.0
EIG;192510;38.0
EIG;192511;126.0
EIG;192512;104.0
EIG;192601;120.0
EIG;192602;134.0
EIG;192603;149.0
EIG;192604;184.0
EIG;192605;390.0
EIG;192606;307.0
EIG;192607;263.0
EIG;192608;123.0
EIG;192609;43.0
EIG;192610;110.0
EIG;192611;126.0
EIG;192612;202.0
EIG;192701;208.0
EIG;192702;116.0
EIG;192703;259.0
EIG;192704;172.0
EIG;192705;54.0
EIG;192706;245.0
EIG;192707;227.0
EIG;192708;239.0
EIG;192709;189.0
EIG;192710;21.0
EIG;192711;78.0
EIG;192712;75.0
EIG;192801;88.0
EIG;192802;127.0
EIG;192803;128.0
EIG;192804;242.0
EIG;192805;215.0
EIG;192806;201.0
EIG;192807;160.0
EIG;192808;170.0
EIG;192809;134.0
EIG;192810;272.0
EIG;192811;278.0
EIG;192812;189.0
EIG;192901;104.0
EIG;192902;58.0
EIG;192903;41.0
EIG;192904;271.0
EIG;192905;178.0
EIG;192906;121.0
EIG;192907;159.0
EIG;192908;210.0
EIG;192909;52.0
EIG;192910;191.0
EIG;192911;67.0
EIG;192912;166.0
EIG;193001;64.0
EIG;193002;31.0
EIG;193003;108.0
EIG;193004;255.0
EIG;193005;401.0
EIG;193006;126.0
EIG;193007;317.0
EIG;193008;172.0
EIG;193009;227.0
EIG;193010;234.0
EIG;193011;174.0
EIG;193012;132.0
EIG;193101;178.0
EIG;193102;268.0
EIG;193103;128.0
EIG;193104;183.0
EIG;193105;172.0
EIG;193106;125.0
EIG;193107;259.0
EIG;193108;247.0
EIG;193109;118.0
EIG;193110;33.0
EIG;193111;46.0
EIG;193112;81.0
EIG;193201;98.0
EIG;193202;10.0
EIG;193203;104.0
EIG;193204;189.0
EIG;193205;229.0
EIG;193206;214.0
EIG;193207;277.0
EIG;193208;155.0
EIG;193209;80.0
EIG;193210;129.0
EIG;193211;73.0
EIG;193212;53.0
EIG;193301;88.0
EIG;193302;107.0
EIG;193303;105.0
EIG;193304;142.0
EIG;193305;290.0
EIG;193306;242.0
EIG;193307;138.0
EIG;193308;78.0
EIG;193309;192.0
EIG;193310;169.0
EIG;193311;160.0
EIG;193312;27.0
EIG;193401;189.0
EIG;193402;43.0
EIG;193403;142.0
EIG;193404;124.0
EIG;193405;81.0
EIG;193406;273.0
EIG;193407;186.0
EIG;193408;218.0
EIG;193409;129.0
EIG;193410;126.0
EIG;193411;31.0
EIG;193412;111.0
EIG;193501;180.0
EIG;193502;200.0
EIG;193503;173.0
EIG;193504;224.0
EIG;193505;147.0
EIG;193506;113.0
EIG;193507;130.0
EIG;193508;317.0
EIG;193509;81.0
EIG;193510;350.0
EIG;193511;134.0
EIG;193512;183.0
EIG;193601;98.0
EIG;193602;123.0
EIG;193603;91.0
EIG;193604;168.0
EIG;193605;152.0
EIG;193606;187.0
EIG;193607;302.0
EIG;193608;157.0
EIG;193609;293.0
EIG;193610;77.0
EIG;193611;36.0
EIG;193612;118.0
EIG;193701;55.0
EIG;193702;159.0
EIG;193703;174.0
EIG;193704;170.0
EIG;193705;227.0
EIG;193706;155.0
EIG;193707;179.0
EIG;193708;224.0
EIG;193709;211.0
EIG;193710;116.0
EIG;193711;97.0
EIG;193712;76.0
EIG;193801;107.0
EIG;193802;101.0
EIG;193803;71.0
EIG;193804;81.0
EIG;193805;185.0
EIG;193806;186.0
EIG;193807;268.0
EIG;193808;241.0
EIG;193809;131.0
EIG;193810;101.0
EIG;193811;31.0
EIG;193812;85.0
EIG;193901;108.0
EIG;193902;41.0
EIG;193903;209.0
EIG;193904;186.0
EIG;193905;369.0
EIG;193906;222.0
EIG;193907;197.0
EIG;193908;138.0
EIG;193909;117.0
EIG;193910;223.0
EIG;193911;244.0
EIG;193912;110.0
EIG;194001;98.0
EIG;194002;120.0
EIG;194003;114.0
EIG;194004;133.0
EIG;194005;258.0
EIG;194006;176.0
EIG;194007;320.0
EIG;194008;106.0
EIG;194009;194.0
EIG;194010;188.0
EIG;194011;138.0
EIG;194012;102.0
EIG;194101;23.0
EIG;194102;103.0
EIG;194103;116.0
EIG;194104;154.0
EIG;194105;332.0
EIG;194106;167.0
EIG;194107;205.0
EIG;194108;310.0
EIG;194109;95.0
EIG;194110;171.0
EIG;194111;24.0
EIG;194112;78.0
EIG;194201;168.0
EIG;194202;65.0
EIG;194203;80.0
EIG;194204;73.0
EIG;194205;170.0
EIG;194206;166.0
EIG;194207;148.0
EIG;194208;145.0
EIG;194209;149.0
