 

stn;time;rre150m0
KSE;195505;150.0
KSE;195506;207.0
KSE;195507;212.0
KSE;195508;173.0
KSE;195509;125.0
KSE;195510;70.0
KSE;195511;20.0
KSE;195512;75.0
KSE;195601;76.0
KSE;195602;18.0
KSE;195603;118.0
KSE;195604;205.0
KSE;195605;169.0
KSE;195606;170.0
KSE;195607;246.0
KSE;195608;211.0
KSE;195609;118.0
KSE;195610;118.0
KSE;195611;34.0
KSE;195612;15.0
KSE;195701;51.0
KSE;195702;119.0
KSE;195703;53.0
KSE;195704;89.0
KSE;195705;188.0
KSE;195706;233.0
KSE;195707;212.0
KSE;195708;143.0
KSE;195709;133.0
KSE;195710;36.0
KSE;195711;52.0
KSE;195712;74.0
KSE;195801;83.0
KSE;195802;202.0
KSE;195803;88.0
KSE;195804;179.0
KSE;195805;111.0
KSE;195806;139.0
KSE;195807;172.0
KSE;195808;191.0
KSE;195809;145.0
KSE;195810;225.0
KSE;195811;101.0
KSE;195812;78.0
KSE;195901;116.0
KSE;195902;17.0
KSE;195903;108.0
KSE;195904;115.0
KSE;195905;92.0
KSE;195906;197.0
KSE;195907;136.0
KSE;195908;121.0
KSE;195909;47.0
KSE;195910;110.0
KSE;195911;75.0
KSE;195912;116.0
KSE;196001;60.0
KSE;196002;92.0
KSE;196003;136.0
KSE;196004;107.0
KSE;196005;117.0
KSE;196006;170.0
KSE;196007;240.0
KSE;196008;275.0
KSE;196009;267.0
KSE;196010;153.0
KSE;196011;137.0
KSE;196012;58.0
KSE;196101;44.4
KSE;196102;154.2
KSE;196103;45.6
KSE;196104;144.0
KSE;196105;148.9
KSE;196106;145.4
KSE;196107;146.9
KSE;196108;169.8
KSE;196109;17.7
KSE;196110;75.4
KSE;196111;65.4
KSE;196112;143.0
KSE;196201;135.0
KSE;196202;84.9
KSE;196203;102.2
KSE;196204;89.9
KSE;196205;173.4
KSE;196206;120.2
KSE;196207;128.1
KSE;196208;113.3
KSE;196209;92.0
KSE;196210;37.6
KSE;196211;62.8
KSE;196212;217.2
KSE;196301;56.5
KSE;196302;51.4
KSE;196303;200.0
KSE;196304;90.6
KSE;196305;200.4
KSE;196306;252.2
KSE;196307;194.7
KSE;196308;186.3
KSE;196309;98.0
KSE;196310;83.6
KSE;196311;147.4
KSE;196312;17.1
KSE;196401;15.8
KSE;196402;38.1
KSE;196403;117.6
KSE;196404;133.9
KSE;196405;177.1
KSE;196406;155.3
KSE;196407;111.5
KSE;196408;170.9
KSE;196409;92.2
KSE;196410;107.3
KSE;196411;110.4
KSE;196412;132.0
KSE;196501;81.6
KSE;196502;78.8
KSE;196503;162.5
KSE;196504;238.6
KSE;196505;201.6
KSE;196506;171.1
KSE;196507;252.6
KSE;196508;267.6
KSE;196509;238.9
KSE;196510;19.9
KSE;196511;172.5
KSE;196512;185.9
KSE;196601;62.6
KSE;196602;141.2
KSE;196603;170.3
KSE;196604;125.9
KSE;196605;109.6
KSE;196606;124.2
KSE;196607;180.9
KSE;196608;209.8
KSE;196609;45.2
KSE;196610;151.5
KSE;196611;105.2
KSE;196612;176.8
KSE;196701;50.7
KSE;196702;55.2
KSE;196703;159.0
KSE;196704;131.7
KSE;196705;229.6
KSE;196706;127.4
KSE;196707;110.7
KSE;196708;163.3
KSE;196709;121.0
KSE;196710;52.8
KSE;196711;43.6
KSE;196712;51.8
KSE;196801;239.2
KSE;196802;89.7
KSE;196803;185.4
KSE;196804;86.3
KSE;196805;139.8
KSE;196806;127.4
KSE;196807;163.8
KSE;196808;244.6
KSE;196809;168.3
KSE;196810;40.7
KSE;196811;121.7
KSE;196812;91.4
KSE;196901;34.3
KSE;196902;53.1
KSE;196903;43.2
KSE;196904;90.2
KSE;196905;158.5
KSE;196906;230.7
KSE;196907;167.4
KSE;196908;265.4
KSE;196909;59.8
KSE;196910;13.5
KSE;196911;96.7
KSE;196912;81.2
KSE;197001;53.2
KSE;197002;172.3
KSE;197003;133.8
KSE;197004;200.6
KSE;197005;131.1
KSE;197006;150.8
KSE;197007;138.0
KSE;197008;275.1
KSE;197009;73.3
KSE;197010;128.7
KSE;197011;80.6
KSE;197012;33.1
KSE;197101;21.1
KSE;197102;92.7
KSE;197103;88.0
KSE;197104;38.7
KSE;197105;151.0
KSE;197106;251.6
KSE;197107;102.9
KSE;197108;216.5
KSE;197109;70.4
KSE;197110;40.8
KSE;197111;146.5
KSE;197112;32.4
KSE;197201;31.3
KSE;197202;59.5
KSE;197203;58.1
KSE;197204;159.7
KSE;197205;162.2
KSE;197206;228.1
KSE;197207;198.9
KSE;197208;196.9
KSE;197209;82.1
KSE;197210;88.8
KSE;197211;149.7
KSE;197212;11.6
KSE;197301;74.4
KSE;197302;86.1
KSE;197303;36.2
KSE;197304;121.9
KSE;197305;104.7
KSE;197306;222.2
KSE;197307;285.4
KSE;197308;154.8
KSE;197309;124.9
KSE;197310;97.8
KSE;197311;79.3
KSE;197312;79.2
KSE;197401;48.1
KSE;197402;83.0
KSE;197403;63.8
KSE;197404;99.1
KSE;197405;137.5
KSE;197406;237.6
KSE;197407;139.1
KSE;197408;108.6
KSE;197409;141.1
KSE;197410;170.1
KSE;197411;143.8
KSE;197412;107.7
KSE;197501;127.1
KSE;197502;34.7
KSE;197503;213.8
KSE;197504;175.4
KSE;197505;92.1
KSE;197506;167.7
KSE;197507;162.8
KSE;197508;211.1
KSE;197509;116.9
KSE;197510;95.6
KSE;197511;164.7
KSE;197512;11.3
KSE;197601;62.1
KSE;197602;45.4
KSE;197603;39.1
KSE;197604;101.5
KSE;197605;94.6
KSE;197606;129.4
KSE;197607;246.5
KSE;197608;129.4
KSE;197609;102.1
KSE;197610;195.5
KSE;197611;106.4
KSE;197612;110.8
KSE;197701;95.2
KSE;197702;132.6
KSE;197703;123.5
KSE;197704;255.5
KSE;197705;178.8
KSE;197706;186.5
KSE;197707;211.3
KSE;197708;239.3
KSE;197709;69.8
KSE;197710;244.6
KSE;197711;114.7
KSE;197712;78.6
KSE;197801;114.7
KSE;197802;117.7
KSE;197803;139.7
KSE;197804;116.3
KSE;197805;151.1
KSE;197806;232.0
KSE;197807;156.0
KSE;197808;248.9
KSE;197809;90.8
KSE;197810;62.8
KSE;197811;24.2
KSE;197812;38.0
KSE;197901;113.2
KSE;197902;69.5
KSE;197903;176.6
KSE;197904;132.4
KSE;197905;135.5
KSE;197906;190.7
KSE;197907;90.6
KSE;197908;237.7
KSE;197909;111.9
KSE;197910;241.8
KSE;197911;168.4
KSE;197912;161.6
KSE;198001;82.9
KSE;198002;92.6
KSE;198003;168.1
KSE;198004;152.0
KSE;198005;127.7
KSE;198006;214.7
KSE;198007;213.2
KSE;198008;125.0
KSE;198009;85.1
KSE;198010;210.6
KSE;198011;77.3
KSE;198012;114.1
KSE;198101;191.2
KSE;198102;64.4
KSE;198103;263.3
KSE;198104;51.9
KSE;198105;190.0
KSE;198106;184.5
KSE;198107;247.6
KSE;198108;138.6
KSE;198109;220.9
KSE;198110;217.8
KSE;198111;93.8
KSE;198112;176.3
KSE;198201;123.3
KSE;198202;28.2
KSE;198203;185.9
KSE;198204;63.0
KSE;198205;112.1
KSE;198206;187.7
KSE;198207;273.8
KSE;198208;222.0
KSE;198209;102.8
KSE;198210;152.2
KSE;198211;66.8
KSE;198212;97.5
KSE;198301;159.6
KSE;198302;104.4
KSE;198303;70.5
KSE;198304;154.1
KSE;198305;257.7
KSE;198306;129.4
KSE;198307;24.8
KSE;198308;190.7
KSE;198309;100.0
KSE;198310;72.4
KSE;198311;118.6
KSE;198312;89.4
KSE;198401;155.6
KSE;198402;103.7
KSE;198403;70.2
KSE;198404;64.9
KSE;198405;176.2
KSE;198406;139.1
KSE;198407;138.7
KSE;198408;182.7
KSE;198409;232.4
KSE;198410;91.4
KSE;198411;57.2
KSE;198412;97.3
KSE;198501;97.9
KSE;198502;104.5
KSE;198503;100.0
KSE;198504;113.3
KSE;198505;236.0
