 

stn;time;rre150d0
SLFES2;20001110;0.0
SLFES2;20001111;0.0
SLFES2;20001112;0.0
SLFES2;20001113;0.0
SLFES2;20001114;0.0
SLFES2;20001115;0.0
SLFES2;20001116;0.0
SLFES2;20001117;0.0
SLFES2;20001118;0.0
SLFES2;20001119;1.2
SLFES2;20001120;0.0
SLFES2;20001121;0.0
SLFES2;20001122;2.0
SLFES2;20001123;0.0
SLFES2;20001124;0.0
SLFES2;20001125;0.2
SLFES2;20001126;0.0
SLFES2;20001127;5.4
SLFES2;20001128;0.0
SLFES2;20001129;0.0
SLFES2;20001130;0.0
SLFES2;20001201;0.0
SLFES2;20001202;0.0
SLFES2;20001203;0.0
SLFES2;20001204;0.0
SLFES2;20001205;0.0
SLFES2;20001206;0.0
SLFES2;20001207;0.2
SLFES2;20001208;0.0
SLFES2;20001209;0.0
SLFES2;20001210;0.0
SLFES2;20001211;0.0
SLFES2;20001212;0.0
SLFES2;20001213;0.0
SLFES2;20001214;0.0
SLFES2;20001215;0.0
SLFES2;20001216;0.0
SLFES2;20001217;0.0
SLFES2;20001218;0.0
SLFES2;20001219;0.0
SLFES2;20001220;0.0
SLFES2;20001221;0.0
SLFES2;20001222;0.0
SLFES2;20001223;0.0
SLFES2;20001224;0.0
SLFES2;20001225;0.0
SLFES2;20001226;0.0
SLFES2;20001227;0.0
SLFES2;20001228;0.0
SLFES2;20001229;0.0
SLFES2;20001230;0.0
SLFES2;20001231;0.0
SLFES2;20010101;2.2
SLFES2;20010102;0.0
SLFES2;20010103;0.0
SLFES2;20010104;0.0
SLFES2;20010105;1.0
SLFES2;20010106;1.0
SLFES2;20010107;0.0
SLFES2;20010108;0.0
SLFES2;20010109;0.0
SLFES2;20010110;0.0
SLFES2;20010111;1.4
SLFES2;20010112;1.4
SLFES2;20010113;1.0
SLFES2;20010114;0.0
SLFES2;20010115;0.0
SLFES2;20010116;0.0
SLFES2;20010117;0.0
SLFES2;20010118;0.0
SLFES2;20010119;0.0
SLFES2;20010120;0.0
SLFES2;20010121;0.0
SLFES2;20010122;0.0
SLFES2;20010123;0.2
SLFES2;20010124;0.0
SLFES2;20010125;0.4
SLFES2;20010126;0.0
SLFES2;20010127;0.0
SLFES2;20010128;0.0
SLFES2;20010129;0.0
SLFES2;20010130;0.0
SLFES2;20010131;0.0
SLFES2;20010201;0.0
SLFES2;20010202;0.0
SLFES2;20010203;0.0
SLFES2;20010204;0.0
SLFES2;20010205;0.0
SLFES2;20010206;0.0
SLFES2;20010207;0.0
SLFES2;20010208;0.0
SLFES2;20010209;0.0
SLFES2;20010210;0.2
SLFES2;20010211;0.0
SLFES2;20010212;0.0
SLFES2;20010213;0.0
SLFES2;20010214;0.0
SLFES2;20010215;0.0
SLFES2;20010216;0.0
SLFES2;20010217;0.0
SLFES2;20010218;0.0
SLFES2;20010219;0.0
SLFES2;20010220;0.0
SLFES2;20010221;0.0
SLFES2;20010222;0.0
SLFES2;20010223;0.0
SLFES2;20010224;0.0
SLFES2;20010225;0.0
SLFES2;20010226;0.0
SLFES2;20010227;0.2
SLFES2;20010228;0.0
SLFES2;20010301;0.0
SLFES2;20010302;0.0
SLFES2;20010303;0.0
SLFES2;20010304;0.0
SLFES2;20010305;2.6
SLFES2;20010306;2.0
SLFES2;20010307;0.8
SLFES2;20010308;0.4
SLFES2;20010309;0.6
SLFES2;20010310;0.4
SLFES2;20010311;6.0
SLFES2;20010312;0.0
SLFES2;20010313;0.0
SLFES2;20010314;0.0
SLFES2;20010315;1.0
SLFES2;20010316;0.0
SLFES2;20010317;0.0
SLFES2;20010318;1.0
SLFES2;20010319;0.0
SLFES2;20010320;4.0
SLFES2;20010321;17.8
SLFES2;20010322;0.4
SLFES2;20010323;0.2
SLFES2;20010324;0.4
SLFES2;20010325;0.8
SLFES2;20010326;2.0
SLFES2;20010327;-
SLFES2;20010328;0.0
SLFES2;20010329;0.0
SLFES2;20010330;0.0
SLFES2;20010331;4.4
SLFES2;20010401;0.2
SLFES2;20010402;0.0
SLFES2;20010403;0.0
SLFES2;20010404;0.0
SLFES2;20010405;0.4
SLFES2;20010406;3.2
SLFES2;20010407;0.0
SLFES2;20010408;0.0
SLFES2;20010409;0.0
SLFES2;20010410;0.2
SLFES2;20010411;0.0
SLFES2;20010412;0.0
SLFES2;20010413;0.0
SLFES2;20010414;0.2
SLFES2;20010415;0.0
SLFES2;20010416;0.0
SLFES2;20010417;0.6
SLFES2;20010418;0.0
SLFES2;20010419;0.0
