 

stn;time;rre150d0
SLFMAE;20120705;4.4
SLFMAE;20120706;23.4
SLFMAE;20120707;0.0
SLFMAE;20120708;0.2
SLFMAE;20120709;2.4
SLFMAE;20120710;1.2
SLFMAE;20120711;1.0
SLFMAE;20120712;-
SLFMAE;20120713;6.2
SLFMAE;20120714;1.4
SLFMAE;20120715;-
SLFMAE;20120716;0.0
SLFMAE;20120717;0.0
SLFMAE;20120718;0.0
SLFMAE;20120719;0.0
SLFMAE;20120720;-
SLFMAE;20120721;9.8
SLFMAE;20120722;-
SLFMAE;20120723;0.0
SLFMAE;20120724;0.0
SLFMAE;20120725;0.0
SLFMAE;20120726;0.0
SLFMAE;20120727;15.0
SLFMAE;20120728;-
SLFMAE;20120729;0.0
SLFMAE;20120730;0.0
SLFMAE;20120731;0.0
SLFMAE;20120801;6.4
SLFMAE;20120802;2.6
SLFMAE;20120803;1.0
SLFMAE;20120804;11.8
SLFMAE;20120805;-
SLFMAE;20120806;15.6
SLFMAE;20120807;0.0
SLFMAE;20120808;0.0
SLFMAE;20120809;0.0
SLFMAE;20120810;0.0
SLFMAE;20120811;0.0
SLFMAE;20120812;0.4
SLFMAE;20120813;3.4
SLFMAE;20120814;0.0
SLFMAE;20120815;10.6
SLFMAE;20120816;-
SLFMAE;20120817;0.0
SLFMAE;20120818;0.0
SLFMAE;20120819;-
SLFMAE;20120820;0.6
SLFMAE;20120821;0.2
SLFMAE;20120822;6.4
SLFMAE;20120823;4.4
SLFMAE;20120824;7.8
SLFMAE;20120825;12.8
SLFMAE;20120826;0.6
SLFMAE;20120827;-
SLFMAE;20120828;0.8
SLFMAE;20120829;0.6
SLFMAE;20120830;-
SLFMAE;20120831;1.8
SLFMAE;20120901;11.8
SLFMAE;20120902;14.6
SLFMAE;20120903;0.0
SLFMAE;20120904;0.0
SLFMAE;20120905;0.8
SLFMAE;20120906;0.0
SLFMAE;20120907;0.0
SLFMAE;20120908;0.0
SLFMAE;20120909;0.0
SLFMAE;20120910;0.0
SLFMAE;20120911;16.6
SLFMAE;20120912;8.4
SLFMAE;20120913;0.6
SLFMAE;20120914;7.4
SLFMAE;20120915;-
SLFMAE;20120916;0.0
SLFMAE;20120917;0.0
SLFMAE;20120918;15.4
SLFMAE;20120919;5.4
SLFMAE;20120920;0.0
SLFMAE;20120921;8.8
SLFMAE;20120922;0.0
SLFMAE;20120923;-
SLFMAE;20120924;4.4
SLFMAE;20120925;-
SLFMAE;20120926;3.4
SLFMAE;20120927;8.0
SLFMAE;20120928;1.4
SLFMAE;20120929;1.0
SLFMAE;20120930;1.0
SLFMAE;20121001;-
SLFMAE;20121002;0.0
SLFMAE;20121003;0.0
SLFMAE;20121004;0.2
SLFMAE;20121005;0.0
SLFMAE;20121006;-
SLFMAE;20121007;12.8
SLFMAE;20121008;30.4
SLFMAE;20121009;19.0
SLFMAE;20121010;-
SLFMAE;20121011;0.8
SLFMAE;20121012;5.4
SLFMAE;20121013;0.0
SLFMAE;20121014;0.0
SLFMAE;20121015;-
SLFMAE;20121016;5.4
SLFMAE;20121017;0.0
SLFMAE;20121018;0.0
SLFMAE;20121019;0.0
SLFMAE;20121020;0.0
SLFMAE;20121021;0.0
SLFMAE;20121022;0.0
SLFMAE;20121023;0.0
SLFMAE;20121024;-
SLFMAE;20121025;0.0
SLFMAE;20121026;1.4
SLFMAE;20121027;0.4
SLFMAE;20121028;0.0
SLFMAE;20121029;0.0
SLFMAE;20121030;1.0
SLFMAE;20121031;0.6
SLFMAE;20121101;1.4
SLFMAE;20121102;-
SLFMAE;20121103;-
SLFMAE;20121104;2.2
SLFMAE;20121105;-
SLFMAE;20121106;0.0
SLFMAE;20121107;1.8
SLFMAE;20121108;7.0
SLFMAE;20121109;2.2
SLFMAE;20121110;0.2
SLFMAE;20121111;0.2
SLFMAE;20121112;0.2
SLFMAE;20121113;1.2
SLFMAE;20121114;0.6
SLFMAE;20121115;-
SLFMAE;20121116;0.0
SLFMAE;20121117;0.0
SLFMAE;20121118;0.0
SLFMAE;20121119;-
SLFMAE;20121120;-
SLFMAE;20121121;-
SLFMAE;20121122;0.0
SLFMAE;20121123;-
SLFMAE;20121124;0.0
SLFMAE;20121125;0.0
SLFMAE;20121126;0.0
SLFMAE;20121127;0.0
SLFMAE;20121128;0.0
SLFMAE;20121129;-
SLFMAE;20121130;0.0
SLFMAE;20121201;-
SLFMAE;20121202;0.0
SLFMAE;20121203;0.0
SLFMAE;20121204;0.0
SLFMAE;20121205;0.0
SLFMAE;20121206;0.0
SLFMAE;20121207;0.0
SLFMAE;20121208;0.0
SLFMAE;20121209;0.0
SLFMAE;20121210;0.0
SLFMAE;20121211;0.0
SLFMAE;20121212;0.0
SLFMAE;20121213;0.0
SLFMAE;20121214;0.2
SLFMAE;20121215;0.0
SLFMAE;20121216;0.0
SLFMAE;20121217;0.0
SLFMAE;20121218;0.0
SLFMAE;20121219;0.0
SLFMAE;20121220;0.0
SLFMAE;20121221;0.0
SLFMAE;20121222;7.0
SLFMAE;20121223;14.0
SLFMAE;20121224;0.2
SLFMAE;20121225;0.0
SLFMAE;20121226;0.0
SLFMAE;20121227;0.2
SLFMAE;20121228;0.0
SLFMAE;20121229;0.0
SLFMAE;20121230;0.0
SLFMAE;20121231;0.0
SLFMAE;20130101;0.0
SLFMAE;20130102;0.0
