 

stn;time;rre150d0
SLFOBM;20170212;1.4
SLFOBM;20170213;1.0
SLFOBM;20170214;0.8
SLFOBM;20170215;-
SLFOBM;20170216;-
SLFOBM;20170217;-
SLFOBM;20170218;2.2
SLFOBM;20170219;0.2
SLFOBM;20170220;2.6
SLFOBM;20170221;6.4
SLFOBM;20170222;-
SLFOBM;20170223;0.2
SLFOBM;20170224;-
SLFOBM;20170225;2.6
SLFOBM;20170226;5.2
SLFOBM;20170227;0.2
SLFOBM;20170228;-
SLFOBM;20170301;-
SLFOBM;20170302;0.2
SLFOBM;20170303;4.6
SLFOBM;20170304;-
SLFOBM;20170305;-
SLFOBM;20170306;-
SLFOBM;20170307;-
SLFOBM;20170308;1.4
SLFOBM;20170309;23.2
SLFOBM;20170310;4.0
SLFOBM;20170311;2.6
SLFOBM;20170312;1.0
SLFOBM;20170313;-
SLFOBM;20170314;-
SLFOBM;20170315;-
SLFOBM;20170316;-
SLFOBM;20170317;-
SLFOBM;20170318;11.8
SLFOBM;20170319;14.8
SLFOBM;20170320;-
SLFOBM;20170321;0.0
SLFOBM;20170322;2.2
SLFOBM;20170323;2.8
SLFOBM;20170324;0.0
SLFOBM;20170325;0.0
SLFOBM;20170326;2.0
SLFOBM;20170327;0.2
SLFOBM;20170328;0.0
SLFOBM;20170329;0.0
SLFOBM;20170330;0.0
SLFOBM;20170331;0.0
SLFOBM;20170401;0.0
SLFOBM;20170402;0.4
SLFOBM;20170403;2.4
SLFOBM;20170404;3.4
SLFOBM;20170405;0.8
SLFOBM;20170406;4.2
SLFOBM;20170407;1.6
SLFOBM;20170408;0.0
SLFOBM;20170409;0.0
SLFOBM;20170410;0.0
SLFOBM;20170411;0.0
SLFOBM;20170412;0.0
SLFOBM;20170413;0.0
SLFOBM;20170414;0.0
SLFOBM;20170415;0.0
SLFOBM;20170416;0.4
SLFOBM;20170417;3.4
SLFOBM;20170418;0.0
SLFOBM;20170419;0.0
SLFOBM;20170420;1.0
SLFOBM;20170421;6.8
SLFOBM;20170422;1.8
SLFOBM;20170423;0.2
SLFOBM;20170424;0.2
SLFOBM;20170425;4.6
SLFOBM;20170426;4.2
SLFOBM;20170427;0.0
SLFOBM;20170428;0.2
SLFOBM;20170429;6.6
SLFOBM;20170430;2.6
SLFOBM;20170501;0.0
SLFOBM;20170502;3.6
SLFOBM;20170503;3.6
SLFOBM;20170504;2.2
SLFOBM;20170505;4.0
SLFOBM;20170506;13.4
SLFOBM;20170507;4.8
