 

stn;time;rre150d0
SLFOTT;20170131;20.4
SLFOTT;20170201;-
SLFOTT;20170202;-
SLFOTT;20170203;-
SLFOTT;20170204;-
SLFOTT;20170205;-
SLFOTT;20170206;-
SLFOTT;20170207;-
SLFOTT;20170208;-
SLFOTT;20170209;2.6
SLFOTT;20170210;-
SLFOTT;20170211;1.2
SLFOTT;20170212;1.0
SLFOTT;20170213;2.8
SLFOTT;20170214;1.0
SLFOTT;20170215;0.2
SLFOTT;20170216;0.2
SLFOTT;20170217;-
SLFOTT;20170218;4.0
SLFOTT;20170219;0.2
SLFOTT;20170220;2.8
SLFOTT;20170221;6.6
SLFOTT;20170222;0.6
SLFOTT;20170223;-
SLFOTT;20170224;-
SLFOTT;20170225;5.2
SLFOTT;20170226;4.0
SLFOTT;20170227;-
SLFOTT;20170228;0.2
SLFOTT;20170301;-
SLFOTT;20170302;2.4
SLFOTT;20170303;3.0
SLFOTT;20170304;0.2
SLFOTT;20170305;-
SLFOTT;20170306;-
SLFOTT;20170307;-
SLFOTT;20170308;2.8
SLFOTT;20170309;26.2
SLFOTT;20170310;10.0
SLFOTT;20170311;6.8
SLFOTT;20170312;3.4
SLFOTT;20170313;0.6
SLFOTT;20170314;-
SLFOTT;20170315;-
SLFOTT;20170316;-
SLFOTT;20170317;-
SLFOTT;20170318;13.8
SLFOTT;20170319;14.0
SLFOTT;20170320;-
SLFOTT;20170321;0.0
SLFOTT;20170322;1.4
SLFOTT;20170323;9.6
SLFOTT;20170324;0.0
SLFOTT;20170325;0.0
SLFOTT;20170326;1.6
SLFOTT;20170327;0.0
SLFOTT;20170328;0.4
SLFOTT;20170329;0.0
SLFOTT;20170330;0.0
SLFOTT;20170331;0.0
SLFOTT;20170401;0.0
SLFOTT;20170402;2.8
SLFOTT;20170403;0.6
SLFOTT;20170404;3.2
SLFOTT;20170405;1.4
SLFOTT;20170406;2.2
SLFOTT;20170407;8.8
SLFOTT;20170408;0.0
SLFOTT;20170409;0.0
SLFOTT;20170410;0.0
SLFOTT;20170411;0.0
SLFOTT;20170412;0.0
SLFOTT;20170413;0.0
