Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Bestellnummer 61302

Dateiname                               Dateityp  Station                              Parameter                                                   Zeitinterval
order_61302_EIG_rre150m0_1_data.txt     Daten     Eigergletscher                       Niederschlag; Monatssumme                                   190810-195204
order_61302_EIG_rre150m0_1_legend.txt   Legende   Eigergletscher                       Niederschlag; Monatssumme                                   190810-195204
order_61302_SLFES2_rre150d0_1_data.txt  Daten     Frutigen / Elsige                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20001109-20161106
order_61302_SLFES2_rre150d0_1_legend.txt Legende   Frutigen / Elsige                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20001109-20161106
order_61302_SLFES2_rre150d0_2_data.txt  Daten     Frutigen / Elsige                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170208-20180810
order_61302_SLFES2_rre150d0_2_legend.txt Legende   Frutigen / Elsige                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170208-20180810
order_61302_SLFOTT_rre150d0_1_data.txt  Daten     Frutigen / Ottere                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000609-20161106
order_61302_SLFOTT_rre150d0_1_legend.txt Legende   Frutigen / Ottere                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000609-20161106
order_61302_SLFOTT_rre150d0_2_data.txt  Daten     Frutigen / Ottere                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170130-20180814
order_61302_SLFOTT_rre150d0_2_legend.txt Legende   Frutigen / Ottere                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170130-20180814
order_61302_SLFGAD_rre150d0_1_data.txt  Daten     Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161218
order_61302_SLFGAD_rre150d0_1_legend.txt Legende   Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161218
order_61302_SLFGAD_rre150d0_2_data.txt  Daten     Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170221-20180814
order_61302_SLFGAD_rre150d0_2_legend.txt Legende   Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170221-20180814
order_61302_SLFFIR_rre150d0_1_data.txt  Daten     Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000919-20161106
order_61302_SLFFIR_rre150d0_1_legend.txt Legende   Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000919-20161106
order_61302_SLFFIR_rre150d0_2_data.txt  Daten     Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170208-20180814
