 

stn;time;rre150d0
SLFBEL;20081111;0.0
SLFBEL;20081112;0.8
SLFBEL;20081113;0.0
SLFBEL;20081114;5.2
SLFBEL;20081115;1.6
SLFBEL;20081116;0.2
SLFBEL;20081117;0.0
SLFBEL;20081118;0.0
SLFBEL;20081119;1.8
SLFBEL;20081120;0.2
SLFBEL;20081121;0.0
SLFBEL;20081122;0.0
SLFBEL;20081123;0.0
SLFBEL;20081124;0.0
SLFBEL;20081125;0.4
SLFBEL;20081126;0.0
SLFBEL;20081127;0.0
SLFBEL;20081128;0.0
SLFBEL;20081129;0.0
SLFBEL;20081130;0.0
SLFBEL;20081201;0.0
SLFBEL;20081202;0.0
SLFBEL;20081203;0.0
SLFBEL;20081204;0.0
SLFBEL;20081205;0.0
SLFBEL;20081206;0.0
SLFBEL;20081207;0.2
SLFBEL;20081208;0.0
SLFBEL;20081209;0.0
SLFBEL;20081210;0.0
SLFBEL;20081211;0.0
SLFBEL;20081212;0.0
SLFBEL;20081213;0.0
SLFBEL;20081214;0.0
SLFBEL;20081215;0.0
SLFBEL;20081216;0.0
SLFBEL;20081217;0.0
SLFBEL;20081218;0.0
SLFBEL;20081219;0.0
SLFBEL;20081220;0.0
SLFBEL;20081221;0.0
SLFBEL;20081222;0.0
SLFBEL;20081223;0.6
SLFBEL;20081224;0.2
SLFBEL;20081225;0.0
SLFBEL;20081226;0.0
SLFBEL;20081227;-
SLFBEL;20081228;0.0
SLFBEL;20081229;-
SLFBEL;20081230;0.0
SLFBEL;20081231;0.2
SLFBEL;20090101;0.0
SLFBEL;20090102;0.0
SLFBEL;20090103;0.0
SLFBEL;20090104;0.0
SLFBEL;20090105;0.0
SLFBEL;20090106;0.0
SLFBEL;20090107;0.0
SLFBEL;20090108;0.0
SLFBEL;20090109;0.0
SLFBEL;20090110;0.0
SLFBEL;20090111;0.0
SLFBEL;20090112;0.0
SLFBEL;20090113;0.0
SLFBEL;20090114;0.0
SLFBEL;20090115;0.0
SLFBEL;20090116;0.0
SLFBEL;20090117;0.0
SLFBEL;20090118;0.0
SLFBEL;20090119;0.0
SLFBEL;20090120;1.2
SLFBEL;20090121;0.0
SLFBEL;20090122;0.2
SLFBEL;20090123;0.0
SLFBEL;20090124;0.0
SLFBEL;20090125;0.2
SLFBEL;20090126;0.0
SLFBEL;20090127;0.0
SLFBEL;20090128;0.4
SLFBEL;20090129;1.8
SLFBEL;20090130;0.6
SLFBEL;20090131;0.2
SLFBEL;20090201;0.0
SLFBEL;20090202;0.0
SLFBEL;20090203;0.0
SLFBEL;20090204;0.0
SLFBEL;20090205;0.0
SLFBEL;20090206;0.0
SLFBEL;20090207;0.0
SLFBEL;20090208;0.0
SLFBEL;20090209;0.2
SLFBEL;20090210;0.0
SLFBEL;20090211;0.0
SLFBEL;20090212;0.0
SLFBEL;20090213;0.0
SLFBEL;20090214;0.0
SLFBEL;20090215;0.4
SLFBEL;20090216;0.0
SLFBEL;20090217;0.0
SLFBEL;20090218;0.0
SLFBEL;20090219;0.2
SLFBEL;20090220;0.0
SLFBEL;20090221;0.2
SLFBEL;20090222;0.0
SLFBEL;20090223;0.0
SLFBEL;20090224;0.0
SLFBEL;20090225;0.2
SLFBEL;20090226;0.0
SLFBEL;20090227;0.8
SLFBEL;20090228;3.0
SLFBEL;20090301;0.0
SLFBEL;20090302;-
SLFBEL;20090303;4.8
SLFBEL;20090304;0.0
SLFBEL;20090305;0.0
SLFBEL;20090306;0.2
SLFBEL;20090307;0.0
SLFBEL;20090308;4.0
SLFBEL;20090309;0.0
SLFBEL;20090310;0.0
SLFBEL;20090311;0.0
SLFBEL;20090312;0.6
SLFBEL;20090313;4.0
SLFBEL;20090314;1.2
SLFBEL;20090315;1.0
SLFBEL;20090316;0.2
SLFBEL;20090317;0.0
SLFBEL;20090318;0.0
SLFBEL;20090319;0.0
SLFBEL;20090320;0.0
SLFBEL;20090321;0.0
SLFBEL;20090322;0.0
SLFBEL;20090323;0.0
SLFBEL;20090324;0.0
SLFBEL;20090325;0.0
SLFBEL;20090326;3.6
SLFBEL;20090327;2.0
SLFBEL;20090328;0.2
SLFBEL;20090329;1.8
SLFBEL;20090330;3.2
SLFBEL;20090331;5.4
SLFBEL;20090401;2.8
SLFBEL;20090402;0.4
SLFBEL;20090403;1.6
SLFBEL;20090404;0.0
SLFBEL;20090405;0.0
SLFBEL;20090406;0.0
SLFBEL;20090407;0.0
SLFBEL;20090408;0.0
SLFBEL;20090409;0.0
SLFBEL;20090410;0.0
SLFBEL;20090411;2.4
SLFBEL;20090412;0.2
SLFBEL;20090413;0.0
SLFBEL;20090414;0.0
SLFBEL;20090415;0.0
SLFBEL;20090416;1.4
SLFBEL;20090417;8.6
SLFBEL;20090418;0.6
SLFBEL;20090419;1.0
SLFBEL;20090420;3.4
SLFBEL;20090421;0.2
SLFBEL;20090422;0.4
SLFBEL;20090423;0.0
SLFBEL;20090424;0.8
SLFBEL;20090425;0.4
SLFBEL;20090426;0.0
SLFBEL;20090427;2.0
SLFBEL;20090428;-
SLFBEL;20090429;-
SLFBEL;20090430;-
SLFBEL;20090501;-
SLFBEL;20090502;-
SLFBEL;20090503;-
SLFBEL;20090504;-
SLFBEL;20090505;-
SLFBEL;20090506;-
SLFBEL;20090507;-
SLFBEL;20090508;-
SLFBEL;20090509;-
SLFBEL;20090510;-
SLFBEL;20090511;-
SLFBEL;20090512;-
SLFBEL;20090513;-
SLFBEL;20090514;-
SLFBEL;20090515;-
SLFBEL;20090516;-
SLFBEL;20090517;-
SLFBEL;20090518;-
SLFBEL;20090519;-
SLFBEL;20090520;-
SLFBEL;20090521;-
SLFBEL;20090522;-
SLFBEL;20090523;-
SLFBEL;20090524;-
SLFBEL;20090525;-
SLFBEL;20090526;-
SLFBEL;20090527;-
SLFBEL;20090528;-
SLFBEL;20090529;-
SLFBEL;20090530;-
SLFBEL;20090531;-
SLFBEL;20090601;-
SLFBEL;20090602;-
SLFBEL;20090603;-
SLFBEL;20090604;-
SLFBEL;20090605;-
SLFBEL;20090606;-
SLFBEL;20090607;-
SLFBEL;20090608;-
SLFBEL;20090609;-
SLFBEL;20090610;-
SLFBEL;20090611;-
SLFBEL;20090612;-
SLFBEL;20090613;-
SLFBEL;20090614;-
SLFBEL;20090615;-
SLFBEL;20090616;-
SLFBEL;20090617;-
SLFBEL;20090618;-
SLFBEL;20090619;-
SLFBEL;20090620;0.0
SLFBEL;20090621;1.0
SLFBEL;20090622;3.0
SLFBEL;20090623;0.2
SLFBEL;20090624;0.0
SLFBEL;20090625;2.6
SLFBEL;20090626;11.6
SLFBEL;20090627;0.6
SLFBEL;20090628;0.2
SLFBEL;20090629;0.2
SLFBEL;20090630;0.2
SLFBEL;20090701;0.0
SLFBEL;20090702;4.2
SLFBEL;20090703;0.4
SLFBEL;20090704;2.4
SLFBEL;20090705;8.6
SLFBEL;20090706;1.2
SLFBEL;20090707;6.2
SLFBEL;20090708;0.2
SLFBEL;20090709;0.2
SLFBEL;20090710;0.0
SLFBEL;20090711;0.0
SLFBEL;20090712;0.0
SLFBEL;20090713;0.0
SLFBEL;20090714;3.6
SLFBEL;20090715;0.2
SLFBEL;20090716;0.0
SLFBEL;20090717;34.4
SLFBEL;20090718;10.8
SLFBEL;20090719;2.4
SLFBEL;20090720;0.0
SLFBEL;20090721;0.0
SLFBEL;20090722;2.8
SLFBEL;20090723;14.0
SLFBEL;20090724;5.6
SLFBEL;20090725;0.0
SLFBEL;20090726;0.0
SLFBEL;20090727;16.8
SLFBEL;20090728;0.0
SLFBEL;20090729;0.0
SLFBEL;20090730;0.0
SLFBEL;20090731;0.0
SLFBEL;20090801;0.0
SLFBEL;20090802;19.2
SLFBEL;20090803;6.6
SLFBEL;20090804;0.0
SLFBEL;20090805;0.0
SLFBEL;20090806;0.0
SLFBEL;20090807;13.8
SLFBEL;20090808;3.8
SLFBEL;20090809;8.2
SLFBEL;20090810;11.2
SLFBEL;20090811;0.0
SLFBEL;20090812;0.0
SLFBEL;20090813;0.2
SLFBEL;20090814;0.0
SLFBEL;20090815;0.0
SLFBEL;20090816;0.0
SLFBEL;20090817;0.2
SLFBEL;20090818;0.0
SLFBEL;20090819;0.0
SLFBEL;20090820;4.0
SLFBEL;20090821;-
SLFBEL;20090822;0.2
SLFBEL;20090823;0.0
SLFBEL;20090824;3.6
