 

stn;time;rka150d0
BEKSE;20080901;0.7
BEKSE;20080902;0.0
BEKSE;20080903;3.4
BEKSE;20080904;1.7
BEKSE;20080905;1.0
BEKSE;20080906;22.9
BEKSE;20080907;19.9
BEKSE;20080908;0.0
BEKSE;20080909;0.0
BEKSE;20080910;4.8
BEKSE;20080911;0.0
BEKSE;20080912;9.8
BEKSE;20080913;57.3
BEKSE;20080914;4.8
BEKSE;20080915;2.9
BEKSE;20080916;0.0
BEKSE;20080917;0.0
BEKSE;20080918;0.7
BEKSE;20080919;19.9
BEKSE;20080920;0.0
BEKSE;20080921;0.0
BEKSE;20080922;0.0
BEKSE;20080923;0.0
BEKSE;20080924;0.0
BEKSE;20080925;0.1
BEKSE;20080926;0.0
BEKSE;20080927;0.0
BEKSE;20080928;0.0
BEKSE;20080929;0.0
BEKSE;20080930;0.0
BEKSE;20081001;0.4
BEKSE;20081002;2.6
BEKSE;20081003;13.2
BEKSE;20081004;5.1
BEKSE;20081005;0.0
BEKSE;20081006;0.9
BEKSE;20081007;0.2
BEKSE;20081008;0.0
BEKSE;20081009;0.0
BEKSE;20081010;0.0
BEKSE;20081011;0.0
BEKSE;20081012;0.0
BEKSE;20081013;3.3
BEKSE;20081014;0.0
BEKSE;20081015;0.0
BEKSE;20081016;10.4
BEKSE;20081017;1.4
BEKSE;20081018;0.0
BEKSE;20081019;0.0
BEKSE;20081020;0.0
BEKSE;20081021;0.0
BEKSE;20081022;2.7
BEKSE;20081023;0.0
BEKSE;20081024;0.0
BEKSE;20081025;0.0
BEKSE;20081026;0.0
BEKSE;20081027;0.8
BEKSE;20081028;23.3
BEKSE;20081029;35.9
BEKSE;20081030;23.6
BEKSE;20081031;1.1
BEKSE;20081101;0.0
BEKSE;20081102;0.0
BEKSE;20081103;5.9
BEKSE;20081104;10.0
BEKSE;20081105;12.4
BEKSE;20081106;0.0
BEKSE;20081107;0.0
BEKSE;20081108;0.0
BEKSE;20081109;0.0
BEKSE;20081110;0.0
BEKSE;20081111;0.6
BEKSE;20081112;14.5
BEKSE;20081113;0.5
BEKSE;20081114;0.0
BEKSE;20081115;0.0
BEKSE;20081116;0.0
BEKSE;20081117;0.8
BEKSE;20081118;3.1
BEKSE;20081119;0.0
BEKSE;20081120;0.0
BEKSE;20081121;19.8
BEKSE;20081122;6.3
BEKSE;20081123;2.8
BEKSE;20081124;3.9
BEKSE;20081125;3.7
BEKSE;20081126;0.0
BEKSE;20081127;0.0
BEKSE;20081128;0.9
BEKSE;20081129;0.7
BEKSE;20081130;0.0
BEKSE;20081201;7.1
BEKSE;20081202;1.0
BEKSE;20081203;0.0
BEKSE;20081204;0.4
BEKSE;20081205;8.0
BEKSE;20081206;1.5
BEKSE;20081207;0.2
BEKSE;20081208;0.0
BEKSE;20081209;0.0
BEKSE;20081210;5.7
BEKSE;20081211;9.3
BEKSE;20081212;0.1
BEKSE;20081213;2.3
BEKSE;20081214;2.0
BEKSE;20081215;0.0
BEKSE;20081216;0.0
BEKSE;20081217;14.1
BEKSE;20081218;0.8
BEKSE;20081219;2.6
BEKSE;20081220;4.6
BEKSE;20081221;0.4
BEKSE;20081222;0.0
BEKSE;20081223;0.0
BEKSE;20081224;0.0
BEKSE;20081225;0.3
