 

stn;time;rre150d0
SLFGO3;20170213;0.2
SLFGO3;20170214;-
SLFGO3;20170215;-
SLFGO3;20170216;0.8
SLFGO3;20170217;0.2
SLFGO3;20170218;0.8
SLFGO3;20170219;0.2
SLFGO3;20170220;-
SLFGO3;20170221;-
SLFGO3;20170222;1.8
SLFGO3;20170223;0.2
SLFGO3;20170224;-
SLFGO3;20170225;1.2
SLFGO3;20170226;0.2
SLFGO3;20170227;0.2
SLFGO3;20170228;-
SLFGO3;20170301;-
SLFGO3;20170302;1.2
SLFGO3;20170303;-
SLFGO3;20170304;-
SLFGO3;20170305;-
SLFGO3;20170306;-
SLFGO3;20170307;-
SLFGO3;20170308;0.2
SLFGO3;20170309;0.2
SLFGO3;20170310;-
SLFGO3;20170311;2.0
SLFGO3;20170312;2.6
SLFGO3;20170313;1.6
SLFGO3;20170314;0.8
SLFGO3;20170315;-
SLFGO3;20170316;-
SLFGO3;20170317;-
SLFGO3;20170318;4.0
SLFGO3;20170319;8.4
SLFGO3;20170320;2.8
SLFGO3;20170321;0.0
SLFGO3;20170322;0.2
SLFGO3;20170323;0.0
SLFGO3;20170324;0.0
SLFGO3;20170325;0.0
SLFGO3;20170326;1.2
SLFGO3;20170327;0.0
SLFGO3;20170328;0.0
SLFGO3;20170329;0.2
SLFGO3;20170330;0.0
SLFGO3;20170331;0.0
SLFGO3;20170401;0.0
SLFGO3;20170402;1.6
SLFGO3;20170403;1.2
SLFGO3;20170404;0.0
SLFGO3;20170405;1.4
SLFGO3;20170406;0.0
SLFGO3;20170407;0.2
SLFGO3;20170408;0.0
SLFGO3;20170409;0.0
SLFGO3;20170410;0.0
SLFGO3;20170411;0.0
SLFGO3;20170412;0.0
SLFGO3;20170413;0.0
SLFGO3;20170414;0.0
SLFGO3;20170415;0.0
SLFGO3;20170416;0.6
SLFGO3;20170417;2.4
SLFGO3;20170418;16.8
SLFGO3;20170419;14.0
SLFGO3;20170420;0.0
SLFGO3;20170421;1.2
SLFGO3;20170422;1.6
SLFGO3;20170423;0.0
SLFGO3;20170424;0.0
SLFGO3;20170425;0.2
SLFGO3;20170426;0.2
SLFGO3;20170427;2.8
SLFGO3;20170428;0.0
SLFGO3;20170429;6.6
SLFGO3;20170430;0.4
SLFGO3;20170501;0.0
SLFGO3;20170502;3.8
SLFGO3;20170503;3.4
SLFGO3;20170504;3.0
SLFGO3;20170505;8.0
SLFGO3;20170506;3.6
SLFGO3;20170507;7.4
SLFGO3;20170508;6.2
SLFGO3;20170509;8.6
SLFGO3;20170510;1.6
SLFGO3;20170511;0.2
SLFGO3;20170512;1.0
SLFGO3;20170513;7.0
SLFGO3;20170514;2.2
SLFGO3;20170515;0.2
SLFGO3;20170516;0.0
SLFGO3;20170517;0.0
SLFGO3;20170518;14.6
SLFGO3;20170519;4.4
SLFGO3;20170520;5.6
SLFGO3;20170521;3.0
SLFGO3;20170522;0.0
SLFGO3;20170523;0.0
SLFGO3;20170524;0.0
SLFGO3;20170525;0.0
SLFGO3;20170526;0.0
SLFGO3;20170527;0.0
SLFGO3;20170528;0.0
SLFGO3;20170529;0.0
SLFGO3;20170530;0.0
SLFGO3;20170531;0.0
SLFGO3;20170601;0.0
SLFGO3;20170602;2.2
SLFGO3;20170603;7.2
SLFGO3;20170604;6.8
SLFGO3;20170605;3.0
SLFGO3;20170606;0.8
SLFGO3;20170607;7.4
SLFGO3;20170608;0.0
SLFGO3;20170609;0.0
SLFGO3;20170610;0.0
SLFGO3;20170611;0.0
SLFGO3;20170612;0.0
SLFGO3;20170613;0.0
SLFGO3;20170614;1.6
SLFGO3;20170615;0.2
SLFGO3;20170616;0.4
SLFGO3;20170617;0.0
SLFGO3;20170618;0.2
SLFGO3;20170619;0.2
SLFGO3;20170620;0.0
SLFGO3;20170621;0.0
SLFGO3;20170622;0.2
SLFGO3;20170623;0.0
SLFGO3;20170624;0.0
SLFGO3;20170625;0.0
SLFGO3;20170626;0.2
SLFGO3;20170627;0.0
SLFGO3;20170628;0.0
SLFGO3;20170629;0.0
SLFGO3;20170630;0.0
SLFGO3;20170701;0.2
SLFGO3;20170702;0.0
SLFGO3;20170703;0.0
SLFGO3;20170704;0.0
SLFGO3;20170705;0.0
SLFGO3;20170706;0.0
SLFGO3;20170707;0.2
SLFGO3;20170708;0.0
SLFGO3;20170709;0.0
SLFGO3;20170710;0.0
SLFGO3;20170711;0.0
SLFGO3;20170712;0.0
SLFGO3;20170713;0.0
SLFGO3;20170714;0.0
SLFGO3;20170715;0.0
SLFGO3;20170716;0.2
SLFGO3;20170717;0.0
SLFGO3;20170718;0.0
SLFGO3;20170719;0.0
SLFGO3;20170720;0.0
SLFGO3;20170721;0.0
SLFGO3;20170722;0.0
SLFGO3;20170723;0.0
SLFGO3;20170724;0.0
SLFGO3;20170725;0.0
SLFGO3;20170726;0.0
SLFGO3;20170727;0.0
SLFGO3;20170728;0.0
SLFGO3;20170729;0.0
SLFGO3;20170730;0.0
SLFGO3;20170731;0.0
SLFGO3;20170801;0.0
SLFGO3;20170802;0.0
SLFGO3;20170803;0.0
SLFGO3;20170804;0.0
SLFGO3;20170805;0.0
SLFGO3;20170806;0.0
SLFGO3;20170807;0.0
SLFGO3;20170808;0.0
SLFGO3;20170809;0.0
SLFGO3;20170810;0.0
SLFGO3;20170811;0.0
SLFGO3;20170812;0.0
SLFGO3;20170813;0.0
SLFGO3;20170814;0.0
SLFGO3;20170815;0.0
SLFGO3;20170816;0.0
SLFGO3;20170817;0.0
SLFGO3;20170818;0.0
SLFGO3;20170819;0.0
SLFGO3;20170820;0.0
SLFGO3;20170821;0.0
SLFGO3;20170822;0.0
SLFGO3;20170823;0.0
SLFGO3;20170824;0.0
SLFGO3;20170825;0.0
SLFGO3;20170826;0.0
SLFGO3;20170827;0.0
SLFGO3;20170828;0.0
SLFGO3;20170829;0.0
SLFGO3;20170830;0.0
SLFGO3;20170831;0.0
SLFGO3;20170901;0.0
SLFGO3;20170902;0.0
SLFGO3;20170903;8.2
SLFGO3;20170904;1.8
SLFGO3;20170905;0.2
SLFGO3;20170906;0.2
SLFGO3;20170907;0.0
SLFGO3;20170908;0.0
SLFGO3;20170909;0.0
SLFGO3;20170910;15.4
SLFGO3;20170911;2.0
SLFGO3;20170912;5.8
SLFGO3;20170913;12.8
SLFGO3;20170914;0.4
SLFGO3;20170915;4.4
SLFGO3;20170916;7.2
SLFGO3;20170917;5.0
SLFGO3;20170918;1.8
SLFGO3;20170919;0.8
SLFGO3;20170920;2.4
SLFGO3;20170921;5.6
SLFGO3;20170922;0.6
SLFGO3;20170923;0.2
SLFGO3;20170924;0.2
SLFGO3;20170925;7.8
SLFGO3;20170926;1.4
SLFGO3;20170927;0.2
SLFGO3;20170928;0.0
SLFGO3;20170929;0.2
SLFGO3;20170930;0.0
SLFGO3;20171001;0.0
SLFGO3;20171002;0.0
SLFGO3;20171003;0.0
SLFGO3;20171004;2.8
SLFGO3;20171005;0.2
SLFGO3;20171006;0.0
SLFGO3;20171007;1.6
SLFGO3;20171008;4.2
SLFGO3;20171009;6.6
SLFGO3;20171010;-
SLFGO3;20171011;0.0
SLFGO3;20171012;0.0
SLFGO3;20171013;0.0
SLFGO3;20171014;0.0
SLFGO3;20171015;0.0
SLFGO3;20171016;0.0
SLFGO3;20171017;0.0
SLFGO3;20171018;0.0
SLFGO3;20171019;0.0
SLFGO3;20171020;0.0
SLFGO3;20171021;4.0
SLFGO3;20171022;0.0
SLFGO3;20171023;0.2
SLFGO3;20171024;10.0
SLFGO3;20171025;9.8
SLFGO3;20171026;0.0
SLFGO3;20171027;-
SLFGO3;20171028;-
SLFGO3;20171029;-
SLFGO3;20171030;2.0
SLFGO3;20171031;1.4
SLFGO3;20171101;-
SLFGO3;20171102;0.2
SLFGO3;20171103;0.2
SLFGO3;20171104;0.0
SLFGO3;20171105;0.0
SLFGO3;20171106;0.0
SLFGO3;20171107;3.8
SLFGO3;20171108;0.0
SLFGO3;20171109;1.2
SLFGO3;20171110;0.0
SLFGO3;20171111;0.0
SLFGO3;20171112;0.0
SLFGO3;20171113;0.0
SLFGO3;20171114;0.2
SLFGO3;20171115;1.4
SLFGO3;20171116;0.4
SLFGO3;20171117;0.2
SLFGO3;20171118;0.0
SLFGO3;20171119;0.0
SLFGO3;20171120;0.0
SLFGO3;20171121;0.6
SLFGO3;20171122;1.8
