 

stn;time;rka150d0
TIT;20131016;20.9
TIT;20131017;7.4
TIT;20131018;0.1
TIT;20131019;0.0
TIT;20131020;2.5
TIT;20131021;0.3
TIT;20131022;9.0
TIT;20131023;12.1
TIT;20131024;0.2
TIT;20131025;0.0
TIT;20131026;0.6
TIT;20131027;3.2
TIT;20131028;1.2
TIT;20131029;3.1
TIT;20131030;1.6
TIT;20131031;0.0
TIT;20131101;0.1
TIT;20131102;4.7
TIT;20131103;-
TIT;20131104;-
TIT;20131105;-
TIT;20131106;-
TIT;20131107;-
TIT;20131108;-
TIT;20131109;-
TIT;20131110;-
TIT;20131111;-
TIT;20131112;-
TIT;20131113;-
TIT;20131114;-
TIT;20131115;-
TIT;20131116;-
TIT;20131117;-
TIT;20131118;-
TIT;20131119;-
TIT;20131120;-
TIT;20131121;17.8
TIT;20131122;0.8
TIT;20131123;5.0
TIT;20131124;6.9
TIT;20131125;3.5
TIT;20131126;1.3
TIT;20131127;0.6
TIT;20131128;2.1
TIT;20131129;0.5
TIT;20131130;12.1
TIT;20131201;2.0
TIT;20131202;1.0
TIT;20131203;0.0
TIT;20131204;0.0
TIT;20131205;0.9
TIT;20131206;7.9
TIT;20131207;0.1
TIT;20131208;0.1
TIT;20131209;0.0
TIT;20131210;0.0
TIT;20131211;0.1
TIT;20131212;0.0
TIT;20131213;0.0
TIT;20131214;1.5
TIT;20131215;0.0
TIT;20131216;0.0
TIT;20131217;0.0
TIT;20131218;0.0
TIT;20131219;-
TIT;20131220;-
TIT;20131221;0.7
