 

stn;time;rre150d0
TIT;20140226;3.7
TIT;20140227;4.0
TIT;20140228;13.5
TIT;20140301;9.6
TIT;20140302;2.9
TIT;20140303;3.5
TIT;20140304;2.6
TIT;20140305;5.0
TIT;20140306;0.0
TIT;20140307;0.5
TIT;20140308;0.0
TIT;20140309;0.0
TIT;20140310;0.0
TIT;20140311;0.0
TIT;20140312;0.0
TIT;20140313;0.0
TIT;20140314;0.0
TIT;20140315;1.3
TIT;20140316;0.0
TIT;20140317;0.0
TIT;20140318;0.2
TIT;20140319;0.1
TIT;20140320;0.4
TIT;20140321;0.6
TIT;20140322;31.5
TIT;20140323;16.9
TIT;20140324;1.5
TIT;20140325;0.1
TIT;20140326;2.9
TIT;20140327;0.0
TIT;20140328;0.0
TIT;20140329;0.0
TIT;20140330;0.0
TIT;20140331;0.0
TIT;20140401;0.0
TIT;20140402;0.0
TIT;20140403;0.6
TIT;20140404;0.0
TIT;20140405;0.8
TIT;20140406;0.2
TIT;20140407;0.3
TIT;20140408;10.2
TIT;20140409;0.0
TIT;20140410;0.0
TIT;20140411;0.0
TIT;20140412;6.5
TIT;20140413;0.0
TIT;20140414;3.1
TIT;20140415;0.1
TIT;20140416;0.3
TIT;20140417;0.0
TIT;20140418;14.9
TIT;20140419;6.2
TIT;20140420;0.9
TIT;20140421;2.3
TIT;20140422;0.2
TIT;20140423;1.8
TIT;20140424;0.3
TIT;20140425;0.6
TIT;20140426;29.6
TIT;20140427;21.2
TIT;20140428;16.4
TIT;20140429;0.0
TIT;20140430;2.2
TIT;20140501;29.8
TIT;20140502;15.8
TIT;20140503;6.6
TIT;20140504;0.2
TIT;20140505;0.0
TIT;20140506;1.1
TIT;20140507;10.5
TIT;20140508;2.3
TIT;20140509;6.0
TIT;20140510;4.8
TIT;20140511;14.3
TIT;20140512;12.4
TIT;20140513;29.9
TIT;20140514;39.3
TIT;20140515;4.5
TIT;20140516;2.0
TIT;20140517;0.4
TIT;20140518;0.4
TIT;20140519;0.1
TIT;20140520;0.1
TIT;20140521;5.3
TIT;20140522;22.2
TIT;20140523;4.6
TIT;20140524;1.6
TIT;20140525;0.4
TIT;20140526;6.7
TIT;20140527;11.8
TIT;20140528;5.8
TIT;20140529;7.9
TIT;20140530;5.8
TIT;20140531;0.6
TIT;20140601;0.3
TIT;20140602;4.7
TIT;20140603;1.5
TIT;20140604;15.3
TIT;20140605;0.0
TIT;20140606;0.3
TIT;20140607;0.0
TIT;20140608;0.1
TIT;20140609;0.0
TIT;20140610;0.0
TIT;20140611;0.9
TIT;20140612;4.2
TIT;20140613;6.0
TIT;20140614;5.2
TIT;20140615;0.0
TIT;20140616;0.7
TIT;20140617;3.4
TIT;20140618;10.5
TIT;20140619;11.8
TIT;20140620;0.3
TIT;20140621;0.1
TIT;20140622;11.2
TIT;20140623;21.1
TIT;20140624;17.2
TIT;20140625;6.2
TIT;20140626;0.0
TIT;20140627;6.4
TIT;20140628;9.6
TIT;20140629;34.6
TIT;20140630;1.6
TIT;20140701;1.2
TIT;20140702;23.9
TIT;20140703;0.0
TIT;20140704;3.3
TIT;20140705;1.9
TIT;20140706;2.2
TIT;20140707;14.1
TIT;20140708;35.9
TIT;20140709;17.6
TIT;20140710;48.5
TIT;20140711;26.6
TIT;20140712;12.6
TIT;20140713;14.5
TIT;20140714;6.6
TIT;20140715;0.0
TIT;20140716;0.2
TIT;20140717;0.0
TIT;20140718;0.1
TIT;20140719;1.3
TIT;20140720;14.2
TIT;20140721;57.5
TIT;20140722;23.2
TIT;20140723;6.4
TIT;20140724;12.3
TIT;20140725;15.2
TIT;20140726;32.0
TIT;20140727;2.3
TIT;20140728;40.7
TIT;20140729;4.0
TIT;20140730;58.0
TIT;20140731;0.4
TIT;20140801;9.3
TIT;20140802;7.4
TIT;20140803;6.0
TIT;20140804;33.7
TIT;20140805;13.3
TIT;20140806;2.3
TIT;20140807;9.5
TIT;20140808;7.6
TIT;20140809;0.7
TIT;20140810;18.1
TIT;20140811;23.2
TIT;20140812;1.2
TIT;20140813;13.1
TIT;20140814;7.2
TIT;20140815;13.6
TIT;20140816;12.9
TIT;20140817;0.0
TIT;20140818;1.9
TIT;20140819;1.8
TIT;20140820;10.5
TIT;20140821;0.2
TIT;20140822;0.0
TIT;20140823;9.8
TIT;20140824;1.7
TIT;20140825;14.8
TIT;20140826;24.3
TIT;20140827;2.1
TIT;20140828;0.4
TIT;20140829;31.1
TIT;20140830;0.1
TIT;20140831;71.6
TIT;20140901;9.1
TIT;20140902;0.9
TIT;20140903;0.5
TIT;20140904;0.0
TIT;20140905;0.6
TIT;20140906;0.0
TIT;20140907;0.0
TIT;20140908;2.1
TIT;20140909;4.2
TIT;20140910;12.7
TIT;20140911;10.6
TIT;20140912;9.8
TIT;20140913;0.5
TIT;20140914;0.5
TIT;20140915;7.6
TIT;20140916;1.4
TIT;20140917;0.1
TIT;20140918;0.3
TIT;20140919;0.0
TIT;20140920;20.8
TIT;20140921;40.7
TIT;20140922;9.1
TIT;20140923;0.4
TIT;20140924;17.1
TIT;20140925;0.1
TIT;20140926;0.0
TIT;20140927;0.0
TIT;20140928;0.0
TIT;20140929;0.0
TIT;20140930;6.5
TIT;20141001;9.3
TIT;20141002;0.0
TIT;20141003;0.0
TIT;20141004;4.9
TIT;20141005;1.4
TIT;20141006;0.7
TIT;20141007;0.0
TIT;20141008;0.5
TIT;20141009;0.1
TIT;20141010;0.9
TIT;20141011;0.0
TIT;20141012;4.1
TIT;20141013;24.8
TIT;20141014;1.0
TIT;20141015;3.8
TIT;20141016;6.0
TIT;20141017;6.2
TIT;20141018;0.0
TIT;20141019;0.0
TIT;20141020;16.9
TIT;20141021;29.8
TIT;20141022;18.0
TIT;20141023;0.7
TIT;20141024;0.3
TIT;20141025;14.6
TIT;20141026;0.0
TIT;20141027;0.0
TIT;20141028;0.1
TIT;20141029;1.2
TIT;20141030;0.9
TIT;20141031;0.0
TIT;20141101;0.0
TIT;20141102;0.0
TIT;20141103;9.1
TIT;20141104;27.2
TIT;20141105;49.3
TIT;20141106;0.3
TIT;20141107;0.1
TIT;20141108;0.6
TIT;20141109;1.6
TIT;20141110;7.1
TIT;20141111;9.6
TIT;20141112;17.7
TIT;20141113;0.1
TIT;20141114;3.8
TIT;20141115;24.6
TIT;20141116;0.2
TIT;20141117;12.0
TIT;20141118;0.4
TIT;20141119;0.0
TIT;20141120;0.0
TIT;20141121;0.0
TIT;20141122;0.0
TIT;20141123;0.0
TIT;20141124;0.0
TIT;20141125;0.0
TIT;20141126;0.0
TIT;20141127;0.0
TIT;20141128;0.0
TIT;20141129;1.0
TIT;20141130;1.9
TIT;20141201;2.0
TIT;20141202;0.1
TIT;20141203;0.1
TIT;20141204;0.0
TIT;20141205;0.0
TIT;20141206;0.0
TIT;20141207;4.3
TIT;20141208;12.9
TIT;20141209;1.4
TIT;20141210;9.0
TIT;20141211;4.3
TIT;20141212;3.3
TIT;20141213;0.0
TIT;20141214;0.4
TIT;20141215;2.8
TIT;20141216;10.2
TIT;20141217;11.4
TIT;20141218;15.8
TIT;20141219;11.8
TIT;20141220;5.3
TIT;20141221;0.0
TIT;20141222;0.0
TIT;20141223;0.0
TIT;20141224;0.4
TIT;20141225;11.3
TIT;20141226;3.3
TIT;20141227;15.5
TIT;20141228;11.6
TIT;20141229;7.3
TIT;20141230;8.0
TIT;20141231;9.3
TIT;20150101;0.6
TIT;20150102;7.4
TIT;20150103;41.1
TIT;20150104;-
TIT;20150105;-
TIT;20150106;-
TIT;20150107;-
TIT;20150108;-
TIT;20150109;-
TIT;20150110;-
TIT;20150111;-
TIT;20150112;-
TIT;20150113;-
TIT;20150114;-
TIT;20150115;-
TIT;20150116;-
TIT;20150117;-
TIT;20150118;-
TIT;20150119;-
TIT;20150120;-
TIT;20150121;-
TIT;20150122;-
TIT;20150123;-
TIT;20150124;-
TIT;20150125;-
TIT;20150126;-
TIT;20150127;-
TIT;20150128;-
TIT;20150129;-
TIT;20150130;-
TIT;20150131;-
TIT;20150201;-
TIT;20150202;-
TIT;20150203;-
TIT;20150204;-
TIT;20150205;-
TIT;20150206;-
TIT;20150207;-
TIT;20150208;-
TIT;20150209;-
TIT;20150210;-
TIT;20150211;-
TIT;20150212;0.0
TIT;20150213;0.6
TIT;20150214;5.0
TIT;20150215;8.3
TIT;20150216;0.0
TIT;20150217;0.0
TIT;20150218;0.0
TIT;20150219;0.0
TIT;20150220;0.8
TIT;20150221;15.4
TIT;20150222;0.4
TIT;20150223;15.0
TIT;20150224;10.6
TIT;20150225;0.1
TIT;20150226;3.3
TIT;20150227;15.4
TIT;20150228;1.7
TIT;20150301;19.8
TIT;20150302;27.8
TIT;20150303;5.1
TIT;20150304;12.2
TIT;20150305;3.5
TIT;20150306;1.4
TIT;20150307;0.4
TIT;20150308;0.4
TIT;20150309;0.3
TIT;20150310;0.2
TIT;20150311;0.0
TIT;20150312;0.4
TIT;20150313;0.0
TIT;20150314;0.0
TIT;20150315;0.0
TIT;20150316;1.5
TIT;20150317;1.3
TIT;20150318;0.0
TIT;20150319;0.0
TIT;20150320;0.7
TIT;20150321;10.3
