Bundesamt für Meteorologie und Klimatologie, MeteoSchweiz
Operation Center 1
Postfach 257
8058 Zürich-Flughafen

Bestellnummer 61371

Dateiname                               Dateityp  Station                              Parameter                                                   Zeitinterval
order_61371_SLFGAD_rre150d0_1_data.txt  Daten     Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161218
order_61371_SLFGAD_rre150d0_1_legend.txt Legende   Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161218
order_61371_SLFGAD_rre150d0_2_data.txt  Daten     Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170221-20180818
order_61371_SLFGAD_rre150d0_2_legend.txt Legende   Gadmen / Gschletteregg               Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170221-20180818
order_61371_SLFGO3_rre150d0_1_data.txt  Daten     Goms / Treichbode                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20040824-20161106
order_61371_SLFGO3_rre150d0_1_legend.txt Legende   Goms / Treichbode                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20040824-20161106
order_61371_SLFGO3_rre150d0_2_data.txt  Daten     Goms / Treichbode                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170212-20180818
order_61371_SLFGO3_rre150d0_2_legend.txt Legende   Goms / Treichbode                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170212-20180818
order_61371_SLFFIR_rre150d0_1_data.txt  Daten     Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000919-20161106
order_61371_SLFFIR_rre150d0_1_legend.txt Legende   Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000919-20161106
order_61371_SLFFIR_rre150d0_2_data.txt  Daten     Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170208-20180817
order_61371_SLFFIR_rre150d0_2_legend.txt Legende   Grindelwald / First                  Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170208-20180817
order_61371_SLFGU2_rre150d0_1_data.txt  Daten     Guttannen / Homad                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161106
order_61371_SLFGU2_rre150d0_1_legend.txt Legende   Guttannen / Homad                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20000815-20161106
order_61371_SLFGU2_rre150d0_2_data.txt  Daten     Guttannen / Homad                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170219-20180818
order_61371_SLFGU2_rre150d0_2_legend.txt Legende   Guttannen / Homad                    Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20170219-20180818
order_61371_BEKSE_rka150d0_1_data.txt   Daten     Kleine Scheidegg                     Niederschlag; Kalendertag                                   20080831-20180818
order_61371_BEKSE_rka150d0_1_legend.txt Legende   Kleine Scheidegg                     Niederschlag; Kalendertag                                   20080831-20180818
order_61371_BEKSE_rre150d0_1_data.txt   Daten     Kleine Scheidegg                     Niederschlag; Tagessumme 6 UTC - 6 UTC Folgetag             20080831-20180818
