 

stn;time;rre150d0
SLFFIR;20170209;5.6
SLFFIR;20170210;-
SLFFIR;20170211;1.6
SLFFIR;20170212;2.4
SLFFIR;20170213;1.6
SLFFIR;20170214;0.2
SLFFIR;20170215;-
SLFFIR;20170216;-
SLFFIR;20170217;-
SLFFIR;20170218;4.2
SLFFIR;20170219;-
SLFFIR;20170220;0.8
SLFFIR;20170221;5.6
SLFFIR;20170222;-
SLFFIR;20170223;-
SLFFIR;20170224;-
SLFFIR;20170225;5.2
SLFFIR;20170226;-
SLFFIR;20170227;-
SLFFIR;20170228;1.6
SLFFIR;20170301;-
SLFFIR;20170302;1.8
SLFFIR;20170303;6.6
SLFFIR;20170304;-
SLFFIR;20170305;2.0
SLFFIR;20170306;-
SLFFIR;20170307;-
SLFFIR;20170308;3.4
SLFFIR;20170309;16.4
SLFFIR;20170310;8.8
SLFFIR;20170311;8.8
SLFFIR;20170312;3.4
SLFFIR;20170313;0.2
SLFFIR;20170314;-
SLFFIR;20170315;-
SLFFIR;20170316;-
SLFFIR;20170317;-
SLFFIR;20170318;22.8
SLFFIR;20170319;17.2
SLFFIR;20170320;1.0
SLFFIR;20170321;0.0
SLFFIR;20170322;2.0
SLFFIR;20170323;12.0
SLFFIR;20170324;0.2
SLFFIR;20170325;0.0
SLFFIR;20170326;0.8
SLFFIR;20170327;0.0
SLFFIR;20170328;0.0
SLFFIR;20170329;0.0
SLFFIR;20170330;0.0
SLFFIR;20170331;0.0
SLFFIR;20170401;0.0
SLFFIR;20170402;3.2
SLFFIR;20170403;1.0
SLFFIR;20170404;1.2
SLFFIR;20170405;5.2
SLFFIR;20170406;5.4
SLFFIR;20170407;0.4
SLFFIR;20170408;0.0
SLFFIR;20170409;1.2
SLFFIR;20170410;1.6
SLFFIR;20170411;0.0
SLFFIR;20170412;0.0
SLFFIR;20170413;0.0
SLFFIR;20170414;0.0
SLFFIR;20170415;1.2
SLFFIR;20170416;1.4
SLFFIR;20170417;1.8
SLFFIR;20170418;0.0
SLFFIR;20170419;0.0
SLFFIR;20170420;7.0
SLFFIR;20170421;9.0
SLFFIR;20170422;1.8
SLFFIR;20170423;0.0
SLFFIR;20170424;0.0
SLFFIR;20170425;2.8
SLFFIR;20170426;7.2
SLFFIR;20170427;0.4
SLFFIR;20170428;0.2
SLFFIR;20170429;10.2
SLFFIR;20170430;2.0
SLFFIR;20170501;0.2
SLFFIR;20170502;6.8
SLFFIR;20170503;1.8
SLFFIR;20170504;8.4
SLFFIR;20170505;9.4
SLFFIR;20170506;8.2
SLFFIR;20170507;9.8
SLFFIR;20170508;13.0
SLFFIR;20170509;6.4
SLFFIR;20170510;0.0
SLFFIR;20170511;0.0
SLFFIR;20170512;14.4
SLFFIR;20170513;13.4
SLFFIR;20170514;13.6
SLFFIR;20170515;0.0
SLFFIR;20170516;0.0
SLFFIR;20170517;0.0
SLFFIR;20170518;1.4
SLFFIR;20170519;5.6
SLFFIR;20170520;12.2
SLFFIR;20170521;0.0
SLFFIR;20170522;0.0
SLFFIR;20170523;0.0
SLFFIR;20170524;0.0
SLFFIR;20170525;0.0
SLFFIR;20170526;0.0
SLFFIR;20170527;0.0
