 

stn;time;rre150d0
SLFUR2;20170207;0.0
SLFUR2;20170208;0.2
SLFUR2;20170209;0.0
SLFUR2;20170210;0.0
SLFUR2;20170211;-
SLFUR2;20170212;0.0
SLFUR2;20170213;0.0
SLFUR2;20170214;0.0
SLFUR2;20170215;0.0
SLFUR2;20170216;0.0
SLFUR2;20170217;0.2
SLFUR2;20170218;-
SLFUR2;20170219;-
SLFUR2;20170220;0.0
SLFUR2;20170221;1.0
SLFUR2;20170222;0.4
SLFUR2;20170223;-
SLFUR2;20170224;0.0
SLFUR2;20170225;0.8
SLFUR2;20170226;0.0
SLFUR2;20170227;0.0
SLFUR2;20170228;0.0
SLFUR2;20170301;0.0
SLFUR2;20170302;1.4
SLFUR2;20170303;0.0
SLFUR2;20170304;0.0
SLFUR2;20170305;0.0
SLFUR2;20170306;0.0
SLFUR2;20170307;0.0
SLFUR2;20170308;2.6
SLFUR2;20170309;2.2
SLFUR2;20170310;0.4
SLFUR2;20170311;2.2
SLFUR2;20170312;1.0
SLFUR2;20170313;0.0
SLFUR2;20170314;0.0
SLFUR2;20170315;0.0
SLFUR2;20170316;0.0
SLFUR2;20170317;0.0
SLFUR2;20170318;0.8
SLFUR2;20170319;3.4
SLFUR2;20170320;0.0
SLFUR2;20170321;0.0
SLFUR2;20170322;4.2
SLFUR2;20170323;1.6
SLFUR2;20170324;5.6
SLFUR2;20170325;1.6
SLFUR2;20170326;0.2
SLFUR2;20170327;0.0
SLFUR2;20170328;0.0
SLFUR2;20170329;0.0
SLFUR2;20170330;-
SLFUR2;20170331;-
SLFUR2;20170401;-
SLFUR2;20170402;-
SLFUR2;20170403;-
SLFUR2;20170404;-
SLFUR2;20170405;-
SLFUR2;20170406;-
SLFUR2;20170407;-
SLFUR2;20170408;0.0
SLFUR2;20170409;-
