 

stn;time;rre150d0
KSE;19610101;1.0
KSE;19610102;0.0
KSE;19610103;2.1
KSE;19610104;3.0
KSE;19610105;0.2
KSE;19610106;2.0
KSE;19610107;0.0
KSE;19610108;2.7
KSE;19610109;1.8
KSE;19610110;0.0
KSE;19610111;0.0
KSE;19610112;0.0
KSE;19610113;0.0
KSE;19610114;0.0
KSE;19610115;0.0
KSE;19610116;0.0
KSE;19610117;0.0
KSE;19610118;0.0
KSE;19610119;0.0
KSE;19610120;0.0
KSE;19610121;0.0
KSE;19610122;0.0
KSE;19610123;4.1
KSE;19610124;6.5
KSE;19610125;8.0
KSE;19610126;0.0
KSE;19610127;0.0
KSE;19610128;5.0
KSE;19610129;0.0
KSE;19610130;3.0
KSE;19610131;5.0
KSE;19610201;20.9
KSE;19610202;21.0
KSE;19610203;29.2
KSE;19610204;19.5
KSE;19610205;20.0
KSE;19610206;0.0
KSE;19610207;1.2
KSE;19610208;0.0
KSE;19610209;6.4
KSE;19610210;0.0
KSE;19610211;5.0
KSE;19610212;16.0
KSE;19610213;0.0
KSE;19610214;0.0
KSE;19610215;0.0
KSE;19610216;0.0
KSE;19610217;0.0
KSE;19610218;0.0
KSE;19610219;0.0
KSE;19610220;0.0
KSE;19610221;0.0
KSE;19610222;0.0
KSE;19610223;0.0
KSE;19610224;0.0
KSE;19610225;0.0
KSE;19610226;0.0
KSE;19610227;0.0
KSE;19610228;15.0
KSE;19610301;11.5
KSE;19610302;0.0
KSE;19610303;6.0
KSE;19610304;0.0
KSE;19610305;0.0
KSE;19610306;0.0
KSE;19610307;0.0
KSE;19610308;0.0
KSE;19610309;0.0
KSE;19610310;0.0
KSE;19610311;0.0
KSE;19610312;0.0
KSE;19610313;0.0
KSE;19610314;0.0
KSE;19610315;0.0
KSE;19610316;0.0
KSE;19610317;0.0
KSE;19610318;10.2
KSE;19610319;9.0
KSE;19610320;0.0
KSE;19610321;8.1
KSE;19610322;0.0
KSE;19610323;0.0
KSE;19610324;0.0
KSE;19610325;0.0
KSE;19610326;0.0
KSE;19610327;0.0
KSE;19610328;0.0
KSE;19610329;0.0
KSE;19610330;0.8
KSE;19610331;0.0
KSE;19610401;2.0
KSE;19610402;1.6
KSE;19610403;0.0
KSE;19610404;0.0
KSE;19610405;0.0
KSE;19610406;0.0
KSE;19610407;0.0
KSE;19610408;6.0
KSE;19610409;0.0
KSE;19610410;4.0
KSE;19610411;5.6
KSE;19610412;0.0
KSE;19610413;0.0
KSE;19610414;11.2
KSE;19610415;15.1
KSE;19610416;2.0
KSE;19610417;3.0
KSE;19610418;6.2
KSE;19610419;0.0
KSE;19610420;0.0
KSE;19610421;1.5
KSE;19610422;9.2
KSE;19610423;41.6
KSE;19610424;6.4
KSE;19610425;0.0
KSE;19610426;5.0
KSE;19610427;0.8
KSE;19610428;5.7
KSE;19610429;4.5
KSE;19610430;12.6
KSE;19610501;7.6
KSE;19610502;0.0
KSE;19610503;2.0
KSE;19610504;0.0
KSE;19610505;2.0
KSE;19610506;1.8
KSE;19610507;0.0
KSE;19610508;0.0
KSE;19610509;19.3
KSE;19610510;6.0
KSE;19610511;3.9
KSE;19610512;9.3
KSE;19610513;0.0
KSE;19610514;0.0
KSE;19610515;4.1
KSE;19610516;0.0
KSE;19610517;0.0
KSE;19610518;4.6
KSE;19610519;0.0
KSE;19610520;9.5
KSE;19610521;6.0
KSE;19610522;13.2
KSE;19610523;8.3
KSE;19610524;0.0
KSE;19610525;4.0
KSE;19610526;3.0
KSE;19610527;19.0
KSE;19610528;24.0
KSE;19610529;0.0
KSE;19610530;0.0
KSE;19610531;1.3
KSE;19610601;0.0
KSE;19610602;1.4
KSE;19610603;15.9
KSE;19610604;0.0
KSE;19610605;2.5
KSE;19610606;4.7
KSE;19610607;10.4
KSE;19610608;0.0
KSE;19610609;47.0
KSE;19610610;1.8
KSE;19610611;0.0
KSE;19610612;0.0
KSE;19610613;8.0
KSE;19610614;0.0
KSE;19610615;0.0
KSE;19610616;2.3
KSE;19610617;0.6
KSE;19610618;0.0
KSE;19610619;0.0
KSE;19610620;0.0
KSE;19610621;13.7
KSE;19610622;2.1
KSE;19610623;0.0
KSE;19610624;0.0
KSE;19610625;3.6
KSE;19610626;4.0
KSE;19610627;26.8
KSE;19610628;0.0
KSE;19610629;0.0
KSE;19610630;0.6
KSE;19610701;0.0
KSE;19610702;0.0
KSE;19610703;3.8
KSE;19610704;4.1
KSE;19610705;0.0
KSE;19610706;0.0
KSE;19610707;0.0
KSE;19610708;5.0
KSE;19610709;1.3
KSE;19610710;0.0
KSE;19610711;6.4
KSE;19610712;20.3
KSE;19610713;3.1
KSE;19610714;2.3
KSE;19610715;0.0
KSE;19610716;4.2
KSE;19610717;9.2
KSE;19610718;1.2
KSE;19610719;26.2
KSE;19610720;2.2
KSE;19610721;1.4
KSE;19610722;4.0
KSE;19610723;0.0
KSE;19610724;16.0
KSE;19610725;0.0
KSE;19610726;0.0
KSE;19610727;3.0
KSE;19610728;27.0
KSE;19610729;6.2
KSE;19610730;0.0
KSE;19610731;0.0
KSE;19610801;19.1
KSE;19610802;10.0
KSE;19610803;5.1
KSE;19610804;0.0
KSE;19610805;0.0
KSE;19610806;2.0
KSE;19610807;3.1
KSE;19610808;0.0
KSE;19610809;13.8
KSE;19610810;34.5
KSE;19610811;20.2
KSE;19610812;10.2
KSE;19610813;0.0
KSE;19610814;0.0
KSE;19610815;4.2
KSE;19610816;12.1
KSE;19610817;25.8
KSE;19610818;0.0
KSE;19610819;9.7
KSE;19610820;0.0
KSE;19610821;0.0
KSE;19610822;0.0
KSE;19610823;0.0
KSE;19610824;0.0
KSE;19610825;0.0
KSE;19610826;0.0
KSE;19610827;0.0
KSE;19610828;0.0
KSE;19610829;0.0
KSE;19610830;0.0
KSE;19610831;0.0
KSE;19610901;0.0
KSE;19610902;0.0
KSE;19610903;0.0
KSE;19610904;0.0
KSE;19610905;13.0
KSE;19610906;0.0
KSE;19610907;0.9
KSE;19610908;1.2
KSE;19610909;0.0
