 

stn;time;rre150d0
SLFGU2;20170220;1.0
SLFGU2;20170221;4.8
SLFGU2;20170222;-
SLFGU2;20170223;-
SLFGU2;20170224;-
SLFGU2;20170225;1.8
SLFGU2;20170226;-
SLFGU2;20170227;0.2
SLFGU2;20170228;-
SLFGU2;20170301;-
SLFGU2;20170302;0.8
SLFGU2;20170303;0.4
SLFGU2;20170304;-
SLFGU2;20170305;-
SLFGU2;20170306;-
SLFGU2;20170307;-
SLFGU2;20170308;1.0
SLFGU2;20170309;17.4
SLFGU2;20170310;6.4
SLFGU2;20170311;4.2
SLFGU2;20170312;2.4
SLFGU2;20170313;-
SLFGU2;20170314;-
SLFGU2;20170315;-
SLFGU2;20170316;-
SLFGU2;20170317;-
SLFGU2;20170318;18.8
SLFGU2;20170319;1.4
SLFGU2;20170320;-
SLFGU2;20170321;0.0
SLFGU2;20170322;1.6
SLFGU2;20170323;2.0
SLFGU2;20170324;0.0
SLFGU2;20170325;0.0
SLFGU2;20170326;0.6
SLFGU2;20170327;0.0
SLFGU2;20170328;0.0
SLFGU2;20170329;0.0
SLFGU2;20170330;0.0
SLFGU2;20170331;0.0
SLFGU2;20170401;0.0
SLFGU2;20170402;0.0
SLFGU2;20170403;0.0
SLFGU2;20170404;3.0
SLFGU2;20170405;4.6
SLFGU2;20170406;2.6
SLFGU2;20170407;0.0
SLFGU2;20170408;0.0
SLFGU2;20170409;0.0
SLFGU2;20170410;0.0
SLFGU2;20170411;0.0
SLFGU2;20170412;0.0
SLFGU2;20170413;0.0
SLFGU2;20170414;0.0
SLFGU2;20170415;0.2
SLFGU2;20170416;0.2
SLFGU2;20170417;0.4
SLFGU2;20170418;0.0
SLFGU2;20170419;0.0
SLFGU2;20170420;2.6
SLFGU2;20170421;0.0
SLFGU2;20170422;0.0
SLFGU2;20170423;0.0
SLFGU2;20170424;0.0
SLFGU2;20170425;1.8
SLFGU2;20170426;2.4
SLFGU2;20170427;0.6
SLFGU2;20170428;0.0
SLFGU2;20170429;3.8
SLFGU2;20170430;0.2
SLFGU2;20170501;0.0
SLFGU2;20170502;0.8
SLFGU2;20170503;0.2
SLFGU2;20170504;2.2
SLFGU2;20170505;2.6
SLFGU2;20170506;1.8
SLFGU2;20170507;5.2
SLFGU2;20170508;9.0
SLFGU2;20170509;1.6
SLFGU2;20170510;0.0
SLFGU2;20170511;0.0
SLFGU2;20170512;10.6
SLFGU2;20170513;7.2
SLFGU2;20170514;11.0
