 

stn;time;rre150d0
SLFSH2;20170209;0.6
SLFSH2;20170210;0.2
SLFSH2;20170211;-
SLFSH2;20170212;0.6
SLFSH2;20170213;3.0
SLFSH2;20170214;-
SLFSH2;20170215;-
SLFSH2;20170216;-
SLFSH2;20170217;-
SLFSH2;20170218;2.4
SLFSH2;20170219;0.4
SLFSH2;20170220;-
SLFSH2;20170221;2.6
SLFSH2;20170222;1.2
SLFSH2;20170223;0.2
SLFSH2;20170224;-
SLFSH2;20170225;4.6
SLFSH2;20170226;-
SLFSH2;20170227;0.2
SLFSH2;20170228;-
SLFSH2;20170301;-
SLFSH2;20170302;-
SLFSH2;20170303;-
SLFSH2;20170304;-
SLFSH2;20170305;-
SLFSH2;20170306;0.4
SLFSH2;20170307;-
SLFSH2;20170308;0.6
SLFSH2;20170309;2.2
SLFSH2;20170310;2.6
SLFSH2;20170311;8.8
SLFSH2;20170312;4.6
SLFSH2;20170313;1.8
SLFSH2;20170314;2.4
SLFSH2;20170315;-
SLFSH2;20170316;-
SLFSH2;20170317;-
SLFSH2;20170318;2.2
SLFSH2;20170319;15.4
SLFSH2;20170320;1.6
SLFSH2;20170321;0.0
SLFSH2;20170322;0.8
SLFSH2;20170323;6.8
SLFSH2;20170324;0.0
SLFSH2;20170325;0.0
SLFSH2;20170326;0.6
SLFSH2;20170327;0.0
SLFSH2;20170328;-
SLFSH2;20170329;0.2
SLFSH2;20170330;0.0
SLFSH2;20170331;0.0
SLFSH2;20170401;0.0
SLFSH2;20170402;4.8
SLFSH2;20170403;0.0
SLFSH2;20170404;3.6
SLFSH2;20170405;1.6
SLFSH2;20170406;6.8
SLFSH2;20170407;5.2
SLFSH2;20170408;0.0
SLFSH2;20170409;0.0
SLFSH2;20170410;0.2
SLFSH2;20170411;0.0
SLFSH2;20170412;0.0
SLFSH2;20170413;0.0
SLFSH2;20170414;0.0
SLFSH2;20170415;0.8
SLFSH2;20170416;0.6
SLFSH2;20170417;0.2
SLFSH2;20170418;0.0
SLFSH2;20170419;0.0
SLFSH2;20170420;5.2
SLFSH2;20170421;6.2
SLFSH2;20170422;2.2
SLFSH2;20170423;0.0
SLFSH2;20170424;0.0
SLFSH2;20170425;2.0
SLFSH2;20170426;4.6
SLFSH2;20170427;0.6
SLFSH2;20170428;0.0
SLFSH2;20170429;9.6
SLFSH2;20170430;4.0
SLFSH2;20170501;0.0
SLFSH2;20170502;5.2
SLFSH2;20170503;1.6
SLFSH2;20170504;6.0
SLFSH2;20170505;4.4
SLFSH2;20170506;8.6
SLFSH2;20170507;6.2
SLFSH2;20170508;12.6
SLFSH2;20170509;4.0
SLFSH2;20170510;0.0
SLFSH2;20170511;0.0
SLFSH2;20170512;7.6
SLFSH2;20170513;16.0
SLFSH2;20170514;12.4
SLFSH2;20170515;0.6
SLFSH2;20170516;0.0
SLFSH2;20170517;0.0
SLFSH2;20170518;4.4
SLFSH2;20170519;0.2
SLFSH2;20170520;7.0
SLFSH2;20170521;0.0
SLFSH2;20170522;0.0
