 

stn;time;rre150d0
SLFTIT;20170208;0.2
SLFTIT;20170209;0.4
SLFTIT;20170210;-
SLFTIT;20170211;-
SLFTIT;20170212;0.4
SLFTIT;20170213;-
SLFTIT;20170214;-
SLFTIT;20170215;-
SLFTIT;20170216;-
SLFTIT;20170217;-
SLFTIT;20170218;1.2
SLFTIT;20170219;0.2
SLFTIT;20170220;0.2
SLFTIT;20170221;-
SLFTIT;20170222;1.4
SLFTIT;20170223;-
SLFTIT;20170224;-
SLFTIT;20170225;3.6
SLFTIT;20170226;2.6
SLFTIT;20170227;0.2
SLFTIT;20170228;0.4
SLFTIT;20170301;-
SLFTIT;20170302;-
SLFTIT;20170303;14.4
SLFTIT;20170304;4.8
SLFTIT;20170305;1.0
SLFTIT;20170306;-
SLFTIT;20170307;-
SLFTIT;20170308;2.0
SLFTIT;20170309;6.2
SLFTIT;20170310;1.8
SLFTIT;20170311;1.4
SLFTIT;20170312;2.8
SLFTIT;20170313;0.4
SLFTIT;20170314;0.8
SLFTIT;20170315;1.4
SLFTIT;20170316;0.8
SLFTIT;20170317;-
SLFTIT;20170318;13.4
SLFTIT;20170319;12.6
SLFTIT;20170320;-
SLFTIT;20170321;0.2
SLFTIT;20170322;2.2
SLFTIT;20170323;7.6
SLFTIT;20170324;2.0
SLFTIT;20170325;5.8
SLFTIT;20170326;0.0
SLFTIT;20170327;0.0
SLFTIT;20170328;0.0
SLFTIT;20170329;0.0
SLFTIT;20170330;0.0
SLFTIT;20170331;0.0
SLFTIT;20170401;0.0
SLFTIT;20170402;2.8
SLFTIT;20170403;2.2
SLFTIT;20170404;2.0
SLFTIT;20170405;0.2
SLFTIT;20170406;1.0
SLFTIT;20170407;7.0
SLFTIT;20170408;1.6
SLFTIT;20170409;0.0
SLFTIT;20170410;0.0
SLFTIT;20170411;0.0
SLFTIT;20170412;0.0
SLFTIT;20170413;0.0
SLFTIT;20170414;0.0
SLFTIT;20170415;1.2
SLFTIT;20170416;0.2
SLFTIT;20170417;0.0
SLFTIT;20170418;0.0
SLFTIT;20170419;0.0
SLFTIT;20170420;0.8
SLFTIT;20170421;5.0
SLFTIT;20170422;3.8
SLFTIT;20170423;0.8
SLFTIT;20170424;0.0
SLFTIT;20170425;2.2
SLFTIT;20170426;5.2
SLFTIT;20170427;1.2
SLFTIT;20170428;0.0
SLFTIT;20170429;7.8
SLFTIT;20170430;4.0
SLFTIT;20170501;0.0
SLFTIT;20170502;5.4
SLFTIT;20170503;6.4
SLFTIT;20170504;4.0
SLFTIT;20170505;7.0
SLFTIT;20170506;4.8
