 

stn;time;tre200d0
JUN;19330101;-10.9
JUN;19330102;-9.6
JUN;19330103;-9.0
JUN;19330104;-10.6
JUN;19330105;-9.4
JUN;19330106;-15.4
JUN;19330107;-17.0
JUN;19330108;-11.8
JUN;19330109;-9.4
JUN;19330110;-16.4
JUN;19330111;-14.4
JUN;19330112;-12.5
JUN;19330113;-15.0
JUN;19330114;-16.9
JUN;19330115;-16.0
JUN;19330116;-18.5
JUN;19330117;-18.2
JUN;19330118;-17.0
JUN;19330119;-20.2
JUN;19330120;-18.9
JUN;19330121;-20.0
JUN;19330122;-21.7
JUN;19330123;-20.2
JUN;19330124;-16.9
JUN;19330125;-18.6
JUN;19330126;-19.2
JUN;19330127;-18.7
JUN;19330128;-16.5
JUN;19330129;-11.9
JUN;19330130;-12.6
JUN;19330131;-14.9
JUN;19330201;-10.1
JUN;19330202;-6.1
JUN;19330203;-8.6
JUN;19330204;-5.4
JUN;19330205;-7.6
JUN;19330206;-8.1
JUN;19330207;-11.0
JUN;19330208;-12.5
JUN;19330209;-7.8
JUN;19330210;-6.8
JUN;19330211;-12.1
JUN;19330212;-14.9
JUN;19330213;-7.6
JUN;19330214;-13.5
JUN;19330215;-13.3
JUN;19330216;-18.4
JUN;19330217;-18.4
JUN;19330218;-21.2
JUN;19330219;-24.6
JUN;19330220;-17.9
JUN;19330221;-16.5
JUN;19330222;-19.9
JUN;19330223;-21.9
JUN;19330224;-25.3
JUN;19330225;-19.5
JUN;19330226;-11.7
JUN;19330227;-10.9
JUN;19330228;-11.8
JUN;19330301;-12.5
JUN;19330302;-9.7
JUN;19330303;-8.3
JUN;19330304;-9.1
JUN;19330305;-9.4
JUN;19330306;-12.4
JUN;19330307;-10.5
JUN;19330308;-11.8
JUN;19330309;-11.7
JUN;19330310;-9.1
JUN;19330311;-8.4
JUN;19330312;-11.6
JUN;19330313;-9.7
JUN;19330314;-11.2
JUN;19330315;-9.1
JUN;19330316;-9.9
JUN;19330317;-11.6
JUN;19330318;-16.0
JUN;19330319;-12.4
JUN;19330320;-13.7
JUN;19330321;-21.0
JUN;19330322;-12.2
JUN;19330323;-9.9
JUN;19330324;-9.4
JUN;19330325;-15.1
JUN;19330326;-12.6
JUN;19330327;-10.4
JUN;19330328;-7.4
JUN;19330329;-7.5
JUN;19330330;-9.9
JUN;19330331;-9.0
JUN;19330401;-10.2
JUN;19330402;-12.1
JUN;19330403;-8.7
