 

stn;time;tre200m0
JUN;193301;-15.4
JUN;193302;-13.7
JUN;193303;-11.0
JUN;193304;-8.2
JUN;193305;-6.4
JUN;193306;-3.1
JUN;193307;2.6
JUN;193308;2.3
JUN;193309;-1.8
JUN;193310;-6.6
JUN;193311;-13.0
JUN;193312;-13.7
JUN;193401;-13.5
JUN;193402;-10.9
JUN;193403;-12.9
JUN;193404;-8.4
JUN;193405;-3.4
JUN;193406;-1.5
JUN;193407;1.0
JUN;193408;-0.1
JUN;193409;-0.9
JUN;193410;-5.6
JUN;193411;-10.1
JUN;193412;-9.9
JUN;193501;-16.4
JUN;193502;-14.6
JUN;193503;-14.1
JUN;193504;-12.1
JUN;193505;-6.9
JUN;193506;-0.5
JUN;193507;0.4
JUN;193508;-0.8
JUN;193509;-1.2
JUN;193510;-6.3
JUN;193511;-9.9
JUN;193512;-14.7
JUN;193601;-11.7
JUN;193602;-14.0
JUN;193603;-11.7
JUN;193604;-10.4
JUN;193605;-4.4
JUN;193606;-2.7
JUN;193607;-0.6
JUN;193608;0.0
JUN;193609;-3.1
JUN;193610;-8.6
JUN;193611;-11.3
JUN;193612;-11.4
JUN;193701;-11.4
JUN;193702;-13.2
JUN;193703;-14.1
JUN;193704;-11.1
JUN;193705;-4.8
JUN;193706;-2.1
JUN;193707;0.3
JUN;193708;-0.9
JUN;193709;-3.9
JUN;193710;-6.0
JUN;193711;-10.4
JUN;193712;-15.1
JUN;193801;-14.6
JUN;193802;-14.4
JUN;193803;-9.8
JUN;193804;-14.3
JUN;193805;-8.1
JUN;193806;-1.2
JUN;193807;-1.7
JUN;193808;-1.3
JUN;193809;-3.0
JUN;193810;-4.9
JUN;193811;-6.6
JUN;193812;-14.4
JUN;193901;-13.3
JUN;193902;-11.4
JUN;193903;-18.0
JUN;193904;-8.9
JUN;193905;-8.8
JUN;193906;-2.4
JUN;193907;-1.9
JUN;193908;-1.1
JUN;193909;-3.8
JUN;193910;-9.1
JUN;193911;-8.3
JUN;193912;-15.0
JUN;194001;-14.9
JUN;194002;-13.5
