time,EIG,KSE
1908-11-01,120.0,
1908-12-01,94.0,
1909-01-01,117.0,
1909-02-01,75.0,
1909-03-01,174.0,
1909-04-01,104.0,
1909-05-01,145.0,
1909-06-01,252.0,
1909-07-01,162.0,
1909-08-01,154.0,
1909-09-01,148.0,
1909-10-01,165.0,
1909-11-01,85.0,
1909-12-01,217.0,
1910-01-01,293.0,
1910-02-01,156.0,
1910-03-01,52.0,
1910-04-01,206.0,
1910-05-01,172.0,
1910-06-01,201.0,
1910-07-01,221.0,
1910-08-01,245.0,
1910-09-01,198.0,
1910-10-01,178.0,
1910-11-01,340.0,
1910-12-01,142.0,
1911-01-01,37.0,
1911-02-01,104.0,
1911-03-01,173.0,
1911-04-01,115.0,
1911-05-01,145.0,
1911-06-01,242.0,
1911-07-01,59.0,
1911-08-01,108.0,
1911-09-01,178.0,
1911-10-01,219.0,
1911-11-01,139.0,
1911-12-01,259.0,
1912-01-01,161.0,
1912-02-01,65.0,
1912-03-01,125.0,
1912-04-01,138.0,
1912-05-01,253.0,
1912-06-01,241.0,
1912-07-01,179.0,
1912-08-01,207.0,
1912-09-01,90.0,
1912-10-01,241.0,
1912-11-01,176.0,
1912-12-01,81.0,
1913-01-01,172.0,
1913-02-01,56.0,
1913-03-01,104.0,
1913-04-01,215.0,
1913-05-01,154.0,
1913-06-01,233.0,
1913-07-01,248.0,
1913-08-01,148.0,
1913-09-01,146.0,
1913-10-01,75.0,
1913-11-01,148.0,
1913-12-01,119.0,
1914-01-01,167.0,
1914-02-01,111.0,
1914-03-01,293.0,
1914-04-01,74.0,
1914-05-01,256.0,
1914-06-01,232.0,
1914-07-01,304.0,
1914-08-01,222.0,
1914-09-01,73.0,
1914-10-01,130.0,
1914-11-01,101.0,
1914-12-01,77.0,
1915-01-01,288.0,
1915-02-01,165.0,
1915-03-01,180.0,
1915-04-01,134.0,
1915-05-01,75.0,
1915-06-01,171.0,
1915-07-01,211.0,
1915-08-01,153.0,
1915-09-01,254.0,
1915-10-01,55.0,
1915-11-01,91.0,
1915-12-01,144.0,
1916-01-01,132.0,
1916-02-01,268.0,
1916-03-01,265.0,
1916-04-01,216.0,
1916-05-01,136.0,
1916-06-01,186.0,
1916-07-01,147.0,
1916-08-01,168.0,
1916-09-01,159.0,
1916-10-01,162.0,
1916-11-01,189.0,
1916-12-01,193.0,
1917-01-01,107.0,
1917-02-01,30.0,
1917-03-01,133.0,
1917-04-01,239.0,
1917-05-01,95.0,
1917-06-01,136.0,
1917-07-01,250.0,
1917-08-01,226.0,
1917-09-01,84.0,
1917-10-01,269.0,
1917-11-01,147.0,
1917-12-01,90.0,
1918-01-01,75.0,
1918-02-01,76.0,
1918-03-01,210.0,
1918-04-01,244.0,
1918-05-01,76.0,
1918-06-01,319.0,
1918-07-01,126.0,
1918-08-01,186.0,
1918-09-01,247.0,
1918-10-01,184.0,
1918-11-01,93.0,
1918-12-01,328.0,
1919-01-01,182.0,
1919-02-01,96.0,
1919-03-01,185.0,
1919-04-01,330.0,
1919-05-01,103.0,
1919-06-01,163.0,
1919-07-01,324.0,
1919-08-01,172.0,
1919-09-01,133.0,
1919-10-01,311.0,
1919-11-01,193.0,
1919-12-01,234.0,
1920-01-01,260.0,
1920-02-01,63.0,
1920-03-01,141.0,
1920-04-01,195.0,
1920-05-01,170.0,
1920-06-01,198.0,
1920-07-01,157.0,
1920-08-01,103.0,
1920-09-01,259.0,
1920-10-01,108.0,
1920-11-01,5.0,
1920-12-01,59.0,
1921-01-01,321.0,
1921-02-01,35.0,
1921-03-01,148.0,
1921-04-01,249.0,
1921-05-01,150.0,
1921-06-01,99.0,
1921-07-01,106.0,
1921-08-01,123.0,
1921-09-01,72.0,
1921-10-01,38.0,
1921-11-01,113.0,
1921-12-01,82.0,
1922-01-01,241.0,
1922-02-01,93.0,
1922-03-01,161.0,
1922-04-01,293.0,
1922-05-01,74.0,
1922-06-01,198.0,
1922-07-01,247.0,
1922-08-01,207.0,
1922-09-01,214.0,
1922-10-01,135.0,
1922-11-01,210.0,
1922-12-01,231.0,
1923-01-01,158.0,
1923-02-01,181.0,
1923-03-01,54.0,
1923-04-01,195.0,
1923-05-01,248.0,
1923-06-01,174.0,
1923-07-01,132.0,
1923-08-01,145.0,
1923-09-01,110.0,
1923-10-01,177.0,
1923-11-01,171.0,
1923-12-01,430.0,
1924-01-01,87.0,
1924-02-01,58.0,
1924-03-01,56.0,
1924-04-01,157.0,
1924-05-01,196.0,
1924-06-01,282.0,
1924-07-01,214.0,
1924-08-01,255.0,
1924-09-01,175.0,
1924-10-01,115.0,
1924-11-01,13.0,
1924-12-01,78.0,
1925-01-01,51.0,
1925-02-01,204.0,
1925-03-01,152.0,
1925-04-01,182.0,
1925-05-01,110.0,
1925-06-01,177.0,
1925-07-01,179.0,
