,SLFFIR,SLFGAD,SLFGO3,SLFGU2,SLFSH2,SLFUR2
1998-10,,,,,,136.00000000000003
1998-11,,,,,,7.6000000000000005
1998-12,,,,,,1.4
1999-01,,,,,,28.799999999999997
1999-02,,,,,,3.4
1999-03,,,,,,21.2
1999-04,,,,,,22.000000000000004
1999-05,,,,,,162.4
1999-06,,,,,,214.79999999999998
1999-07,,,,,,115.80000000000001
1999-08,,,,,,159.0
1999-09,,,,,,312.0
1999-10,,,,,,135.6
1999-11,,,,,,20.199999999999996
1999-12,,,,,,7.2
2000-01,,,,,,4.8
2000-02,,,,,,7.600000000000001
2000-03,,,,,,22.599999999999998
2000-04,,,,,,165.20000000000002
2000-05,,,,,,58.4
2000-06,,,,,,107.8
2000-07,,,,,243.8,157.20000000000005
2000-08,,,,,175.20000000000005,87.6
2000-09,,162.20000000000002,,141.6,105.4,316.8
2000-10,143.0,162.0,,117.2,125.0,303.59999999999997
2000-11,40.199999999999996,143.8,,19.8,18.6,18.400000000000002
2000-12,4.2,6.800000000000001,,1.0,1.2,5.6
2001-01,24.399999999999995,23.2,,2.2,10.600000000000001,3.6
2001-02,9.399999999999999,16.4,,4.0,7.200000000000001,6.800000000000001
2001-03,149.2,135.60000000000002,,125.80000000000001,49.2,62.39999999999999
2001-04,61.599999999999994,58.0,,23.799999999999997,26.999999999999996,56.19999999999999
2001-05,80.0,84.0,,69.0,101.4,130.0
2001-06,275.40000000000003,289.20000000000005,,243.6,271.2,162.8
2001-07,210.79999999999998,219.39999999999995,,190.40000000000003,205.8,182.60000000000002
2001-08,146.2,137.2,,120.60000000000002,160.79999999999998,151.2
2001-09,155.19999999999996,194.59999999999994,,128.0,158.39999999999998,79.79999999999997
2001-10,,43.8,,41.599999999999994,,86.19999999999997
2001-11,23.200000000000003,29.0,,15.0,,
2001-12,34.6,36.00000000000001,,,,4.6000000000000005
2002-01,30.2,27.399999999999995,,17.4,,11.4
2002-02,23.2,20.0,,8.599999999999998,,
2002-03,,17.599999999999998,,,,
2002-04,61.400000000000006,,,52.8,,
2002-05,148.60000000000002,125.99999999999999,,121.2,,
2002-06,252.8,138.79999999999998,,142.00000000000003,,
2002-07,220.00000000000003,251.60000000000002,,215.60000000000002,,171.39999999999998
2002-08,236.2,189.20000000000002,,,,202.20000000000002
2002-09,209.79999999999998,185.2,,156.39999999999998,149.0,63.0
2002-10,92.60000000000001,87.8,,77.39999999999999,52.99999999999999,86.6
2002-11,171.60000000000002,,,127.39999999999999,,
2002-12,,,,,,
2003-01,10.199999999999998,,,,,
2003-02,1.4,,,0.0,,0.2
2003-03,16.2,18.400000000000002,,0.0,11.399999999999999,0.8
2003-04,51.20000000000001,55.60000000000001,,0.8,51.2,51.8
2003-05,121.8,146.0,,0.4,132.4,68.0
2003-06,131.0,125.39999999999999,,14.199999999999998,113.6,36.2
2003-07,155.59999999999997,165.39999999999998,,14.600000000000001,190.00000000000006,128.0
2003-08,90.60000000000001,77.19999999999999,,2.0,127.79999999999998,90.8
2003-09,103.99999999999999,123.39999999999999,,12.799999999999999,124.2,60.6
2003-10,100.0,247.79999999999995,,21.999999999999996,86.8,41.00000000000001
2003-11,34.800000000000004,35.800000000000004,,17.999999999999996,19.2,22.599999999999998
2003-12,21.399999999999995,148.60000000000002,,7.6000000000000005,7.600000000000001,2.8
2004-01,42.400000000000006,27.8,,30.4,3.2,3.8000000000000003
2004-02,9.0,52.2,,2.6,2.2,4.4
2004-03,37.4,37.800000000000004,,10.799999999999999,12.800000000000002,8.399999999999999
2004-04,48.400000000000006,44.4,,17.6,36.800000000000004,45.6
2004-05,93.8,116.0,,78.4,97.0,47.2
2004-06,243.39999999999998,272.2,,284.0,267.6000000000001,97.60000000000001
2004-07,140.4,195.0,,128.39999999999998,168.4,68.99999999999999
2004-08,262.7999999999999,213.19999999999996,,235.8,231.2,171.4
2004-09,143.00000000000003,123.60000000000002,91.0,100.6,111.20000000000002,70.4
2004-10,70.2,86.39999999999999,105.59999999999998,75.00000000000001,71.80000000000001,233.80000000000004
2004-11,25.199999999999996,46.400000000000006,67.60000000000001,28.799999999999997,42.000000000000014,139.99999999999997
2004-12,7.2,5.6000000000000005,1.2000000000000002,4.0,3.8,4.0
2005-01,3.400000000000001,9.4,1.2,0.0,0.8,2.4
2005-02,8.8,4.800000000000001,0.4,3.6000000000000005,3.2000000000000006,5.2
2005-03,45.800000000000004,44.0,22.6,21.799999999999997,35.800000000000004,14.2
2005-04,57.4,68.4,30.199999999999996,28.0,58.79999999999999,38.599999999999994
2005-05,154.59999999999997,147.6,101.60000000000001,124.6,142.0,159.6
2005-06,134.39999999999998,122.80000000000001,111.2,142.4,204.2,120.39999999999999
2005-07,146.79999999999995,166.79999999999998,132.20000000000002,144.2,137.39999999999998,136.6
2005-08,310.79999999999995,329.0,217.8,310.40000000000003,301.19999999999993,271.6
2005-09,85.60000000000001,82.00000000000001,78.00000000000001,63.599999999999994,85.99999999999999,119.20000000000003
2005-10,57.599999999999994,50.4,26.399999999999995,36.8,66.0,26.4
2005-11,19.6,14.999999999999998,7.800000000000001,11.799999999999999,13.799999999999999,7.6000000000000005
2005-12,3.4,6.0,1.4,2.5999999999999996,2.4000000000000004,1.0
2006-01,6.0,5.2,0.6000000000000001,0.0,3.0000000000000004,5.4
2006-02,,3.2000000000000006,0.4,1.2,6.3999999999999995,2.2
2006-03,,49.8,22.400000000000002,17.2,29.2,28.6
2006-04,63.399999999999984,69.0,48.80000000000001,40.800000000000004,67.19999999999999,49.8
2006-05,212.8,230.40000000000003,131.8,177.0,140.6,128.6
2006-06,140.60000000000002,112.60000000000001,102.8,104.6,141.59999999999997,80.4
2006-07,,152.00000000000003,102.79999999999998,103.00000000000003,222.0,47.8
2006-08,266.6,277.99999999999994,221.6,278.4,267.0,187.99999999999994
2006-09,137.59999999999997,185.0,119.2,129.79999999999998,229.4,155.6
2006-10,79.80000000000001,86.0,52.400000000000006,76.19999999999999,70.8,54.199999999999996
2006-11,33.00000000000001,50.00000000000001,21.400000000000002,27.8,36.99999999999999,45.6
2006-12,27.399999999999995,33.99999999999999,8.0,17.4,7.6,6.000000000000001
2007-01,88.2,83.8,25.4,19.2,28.200000000000003,45.199999999999996
2007-02,20.599999999999998,25.800000000000004,7.000000000000001,14.2,5.800000000000001,5.4
2007-03,35.199999999999996,35.20000000000001,12.399999999999999,10.4,22.4,14.399999999999999
2007-04,25.0,,2.2,,38.6,3.2
2007-05,177.4,183.79999999999995,162.4,162.40000000000003,172.40000000000003,211.6
2007-06,197.59999999999994,163.6,199.0,173.8,293.6,172.80000000000004
2007-07,221.6,193.0,193.4,167.4,303.6,129.20000000000002
2007-08,235.8,233.59999999999997,208.2,,235.99999999999994,190.40000000000003
2007-09,50.2,,65.19999999999999,101.40000000000002,71.99999999999999,46.4
2007-10,36.4,78.20000000000002,29.599999999999998,44.80000000000001,74.20000000000002,17.999999999999996
2007-11,13.399999999999997,25.400000000000002,4.0,2.4000000000000004,9.200000000000001,48.800000000000004
2007-12,40.60000000000001,15.2,2.4000000000000004,,8.0,6.2
2008-01,24.6,,6.8,,11.399999999999999,9.2
2008-02,,20.800000000000004,11.4,6.6000000000000005,8.200000000000001,5.799999999999999
2008-03,51.0,,8.799999999999997,14.2,19.200000000000003,40.8
2008-04,81.8,,46.800000000000004,,68.6,66.2
2008-05,45.8,88.0,116.4,68.00000000000001,69.00000000000001,227.6
2008-06,,,144.80000000000004,104.80000000000001,191.39999999999998,100.2
2008-07,211.60000000000005,161.39999999999998,157.0,137.6,249.6,149.8
2008-08,216.2,242.60000000000002,161.79999999999998,207.19999999999996,173.60000000000002,143.0
2008-09,177.4,185.20000000000002,150.79999999999995,173.39999999999998,138.79999999999998,248.79999999999995
2008-10,56.8,63.39999999999999,49.2,50.60000000000001,45.2,48.6
2008-11,30.8,50.20000000000001,26.2,27.599999999999998,27.799999999999994,92.79999999999998
2008-12,5.0,9.6,1.4,1.4,4.4,4.800000000000001
2009-01,6.800000000000001,10.4,1.4,0.4,2.1999999999999997,0.4
2009-02,15.8,15.799999999999999,5.800000000000001,4.0,4.0,3.2
2009-03,40.6,32.599999999999994,21.599999999999998,15.6,17.400000000000002,22.800000000000004
2009-04,33.2,52.2,30.6,9.6,24.200000000000003,55.80000000000001
2009-05,103.80000000000001,88.19999999999999,65.6,82.4,92.6,68.19999999999999
2009-06,195.6,212.2,128.79999999999998,183.00000000000003,214.40000000000003,122.00000000000001
2009-07,262.0,207.2,120.0,231.4,4.000000000000001,113.79999999999998
2009-08,163.4,104.60000000000001,82.60000000000001,128.60000000000002,47.599999999999994,108.0
2009-09,54.6,,44.60000000000001,47.400000000000006,61.2,101.60000000000002
2009-10,60.60000000000001,,52.20000000000001,56.00000000000001,62.19999999999999,40.8
2009-11,0.0,79.00000000000001,40.8,40.80000000000001,36.0,26.6
2009-12,0.0,32.2,1.0,5.0,13.000000000000002,1.5999999999999999
2010-01,0.0,5.0,0.2,0.2,0.2,0.2
2010-02,0.0,9.0,0.4,1.0,,1.5999999999999999
2010-03,0.0,43.800000000000004,16.0,11.0,,24.6
2010-04,0.0,38.0,30.199999999999996,22.6,,34.6
2010-05,0.0,202.39999999999998,182.0,178.8,164.4,201.39999999999998
2010-06,116.80000000000001,181.40000000000006,108.19999999999999,148.60000000000002,150.2,154.2
2010-07,285.99999999999994,288.40000000000003,116.0,317.2,327.4,115.19999999999999
2010-08,262.0,197.60000000000002,219.19999999999993,203.2,,183.20000000000002
2010-09,95.0,96.60000000000001,84.79999999999998,121.4,131.0,108.2
2010-10,10.999999999999998,32.4,55.800000000000004,17.2,23.599999999999998,74.4
2010-11,105.80000000000001,73.39999999999999,19.999999999999996,40.400000000000006,32.2,33.6
2010-12,15.999999999999996,26.2,4.6,6.800000000000001,7.6000000000000005,2.4
2011-01,25.000000000000004,28.399999999999995,1.7999999999999998,13.2,6.4,1.6
2011-02,5.2,7.6,2.6,0.4,6.3999999999999995,3.8000000000000003
2011-03,30.200000000000003,36.6,19.0,18.8,28.6,16.0
2011-04,31.0,38.99999999999999,23.8,25.599999999999998,39.8,7.4
2011-05,109.99999999999999,134.2,79.6,102.60000000000002,121.79999999999998,61.6
2011-06,162.80000000000004,181.39999999999998,119.99999999999999,206.2,207.00000000000003,129.99999999999997
2011-07,239.2,153.6,207.39999999999998,204.6,235.80000000000004,224.99999999999994
2011-08,132.59999999999997,135.40000000000003,123.00000000000001,123.60000000000002,147.39999999999998,101.60000000000001
2011-09,76.8,94.80000000000001,113.99999999999999,68.8,109.8,100.2
2011-10,97.60000000000001,152.4,78.20000000000002,108.4,,68.79999999999998
2011-11,0.0,4.8,38.199999999999996,6.4,0.2,125.20000000000002
2011-12,26.400000000000002,18.0,7.8,11.799999999999999,13.4,7.6
2012-01,13.799999999999997,10.0,3.5999999999999996,5.0,,20.2
2012-02,10.600000000000001,17.000000000000004,6.6000000000000005,2.2,,2.4000000000000004
2012-03,24.800000000000004,27.6,10.600000000000001,2.8,,12.6
2012-04,73.0,110.2,46.400000000000006,59.999999999999986,53.6,148.2
2012-05,136.59999999999997,117.60000000000002,72.8,99.0,110.4,96.60000000000002
2012-06,182.79999999999998,232.2,216.59999999999997,177.79999999999998,195.2,145.79999999999998
2012-07,156.4,177.0,169.60000000000002,179.8,150.0,157.2
2012-08,149.00000000000003,156.40000000000003,138.6,128.60000000000002,130.6,134.4
2012-09,185.79999999999998,159.59999999999997,128.00000000000003,128.39999999999998,,141.6
2012-10,153.0,182.59999999999997,92.2,119.2,,79.20000000000002
2012-11,21.0,35.599999999999994,29.2,22.599999999999998,,21.199999999999996
2012-12,24.2,14.0,10.799999999999999,24.8,,10.8
2013-01,23.0,21.999999999999993,0.8,17.799999999999997,7.2,13.199999999999996
2013-02,11.000000000000004,,0.6000000000000001,1.0,,4.8
2013-03,36.99999999999999,31.600000000000005,18.799999999999997,4.6000000000000005,,19.4
2013-04,71.2,94.60000000000001,67.39999999999999,64.2,26.4,171.99999999999997
2013-05,158.99999999999994,152.0,144.20000000000002,118.40000000000002,,210.60000000000002
2013-06,222.20000000000002,134.00000000000003,114.8,216.00000000000003,136.19999999999996,109.20000000000002
2013-07,172.99999999999997,0.2,126.20000000000002,134.2,,142.8
2013-08,163.79999999999998,0.2,99.0,155.00000000000006,208.4,190.2
2013-09,208.99999999999997,208.79999999999998,146.8,160.79999999999998,104.60000000000001,132.0
2013-10,121.6,106.20000000000002,67.39999999999999,80.0,85.8,85.60000000000001
2013-11,57.00000000000001,51.60000000000001,20.200000000000003,20.199999999999996,27.8,44.20000000000001
2013-12,10.0,57.2,2.1999999999999997,2.0,3.0,0.6000000000000001
2014-01,12.2,12.6,6.999999999999999,0.8,,4.8
2014-02,37.00000000000001,24.599999999999998,4.2,8.200000000000001,13.799999999999999,2.2
2014-03,20.0,28.4,11.2,8.999999999999996,,10.799999999999997
2014-04,80.2,62.8,49.199999999999996,64.2,60.599999999999994,52.19999999999999
2014-05,151.60000000000002,144.8,89.80000000000001,105.2,119.8,132.39999999999998
