,SLFFIR,SLFGAD,SLFGO3,SLFGU2,SLFSH2,SLFUR2
1999,,,,,,1202.3999999999996
2000,,,,,,1255.5999999999997
2001,1202.6000000000006,1266.400000000001,,995.9999999999999,,
2003,838.2000000000003,1167.4000000000005,,102.60000000000001,,504.39999999999986
2004,1123.2,1220.6000000000001,,996.4000000000002,1048.0000000000007,895.6000000000005
2005,1028.2000000000007,1046.2000000000005,730.8000000000005,889.7999999999998,1051.6000000000004,902.8000000000005
2006,,,832.2000000000005,,1221.8000000000004,792.2000000000003
2007,,,911.2000000000002,,1264.0000000000007,891.6000000000005
2008,1043.4,,881.4000000000004,,1007.200000000001,1137.6
2009,936.4000000000001,,594.9999999999999,804.2000000000007,,664.8000000000002
2010,892.6000000000005,1194.2000000000005,837.4000000000009,1068.4,,933.6000000000003
2011,,986.2000000000005,815.3999999999999,890.4000000000005,,848.7999999999998
2012,1131.0000000000005,,925.0000000000006,950.2000000000006,,970.2
2013,1257.800000000001,,808.4000000000001,974.2000000000005,,1124.6
2014,1546.2000000000003,1645.0000000000002,882.2000000000004,1256.2000000000003,,933.0000000000003
2015,1233.8000000000006,1194.8000000000006,723.4000000000004,866.2,,880.0
