,lon,lat,n_mb_years,tstar,bias
RGI60-11.00002,13.6135,47.4845,8,1911,19.152639153448945
RGI60-11.00012,13.0581,47.4242,10,1963,3.9185201645932466
RGI60-11.00073,12.5956,47.1403,17,1982,-6.112935354363572
RGI60-11.00080,12.5964,47.1316,63,1932,6.181767487463162
RGI60-11.00106,12.6967,47.0991,28,1883,9.407580931563757
RGI60-11.00190,12.3784,47.0851,8,1981,21.52048283039403
RGI60-11.00251,12.9472,47.053,16,1980,-2.5459642230237023
RGI60-11.00289,12.9702,47.0421,26,1963,-0.5692567714346524
RGI60-11.00300,13.0049,47.0385,32,1911,-12.829123777326686
RGI60-11.00603,11.2247,46.9656,19,1911,372.9254400721237
RGI60-11.00619,11.1528,46.9566,13,1888,0.31648762443512624
RGI60-11.00638,9.38896,46.9603,8,1911,355.4633914672397
RGI60-11.00647,12.0965,46.9069,6,1947,-0.8580303527667184
RGI60-11.00719,10.818,46.8762,50,1965,-3.915779903463374
RGI60-11.00781,10.1603,46.8577,26,1905,167.66127626767764
RGI60-11.00787,10.7907,46.8424,62,1944,3.4057641774868728
RGI60-11.00797,10.1054,46.8515,9,1928,-15.33633955657342
RGI60-11.00804,10.0766,46.8524,96,1923,1.7819573324440512
RGI60-11.00807,10.1309,46.8529,9,1905,390.8833432219453
RGI60-11.00843,8.89117,46.8442,100,1963,5.180273811185799
RGI60-11.00892,8.98871,46.833,42,1926,2.761789340954067
RGI60-11.00897,10.7584,46.8003,62,1906,-0.25461974199993165
RGI60-11.00918,8.97739,46.8133,38,1925,49.87805051163818
RGI60-11.00929,11.0191,46.7817,8,1924,-0.32007940218204567
RGI60-11.01238,8.3965,46.6236,33,1901,109.70581839504803
RGI60-11.01450,8.01919,46.5028,60,1903,138.604750887722
RGI60-11.01662,9.36354,46.5056,5,1894,0.2561986779525114
RGI60-11.01704,10.771,46.4838,28,1917,-0.28591747211385155
RGI60-11.01776,10.6115,46.4674,11,1904,-6.853676653839784
RGI60-11.01834,10.7085,46.4512,48,1903,362.19718522440417
RGI60-11.01876,8.33019,46.4383,53,1901,103.19899307608102
RGI60-11.01930,10.1119,46.4296,5,1925,1.624245994802095
RGI60-11.01987,8.4812,46.416,23,1931,1.2311396623589417
RGI60-11.02072,7.51198,46.3839,5,1911,846.1190692390512
RGI60-11.02214,10.5127,46.348,14,1903,313.6751247664811
RGI60-11.02245,9.70108,46.3085,6,1903,359.1943148300113
RGI60-11.02249,7.22536,46.3202,5,1970,815.3662302940231
RGI60-11.02285,9.64185,46.2987,6,1905,288.8668414098813
RGI60-11.02648,9.98941,46.0754,5,1999,-12.970731407343102
RGI60-11.02671,7.9245,46.0649,40,1911,-1.5872433942620319
RGI60-11.02679,7.9131,46.055,59,1883,-2.441133179099978
RGI60-11.02704,7.90949,46.0336,59,1949,-2.946543473751575
RGI60-11.02746,7.92806,46.0081,59,1884,2.8894773587875022
RGI60-11.02764,7.87661,46.0124,9,1873,0.9854253349722057
RGI60-11.02766,7.29108,45.9647,18,1910,-1.0135318534445332
RGI60-11.02773,7.87051,45.9936,10,1978,0.5127487201868917
RGI60-11.02774,7.38888,45.9921,48,1965,1.6004221165375725
RGI60-11.03084,7.27894,45.5592,14,1925,-0.687932571007309
RGI60-11.03135,7.38984,45.5181,23,1903,587.3979980305444
RGI60-11.03166,7.2204,45.4757,12,1927,2.7630597201807063
RGI60-11.03246,10.982920789,47.415938932,6,1996,7.797956548427436
RGI60-11.03638,6.985,45.951,39,1966,257.1038504508798
RGI60-11.03643,6.934,45.883,8,1976,0.05661278184038565
RGI60-11.03671,6.629,45.295,20,1903,252.63820505561876
RGI60-11.03674,6.159,45.16,58,1925,388.4580354666165
RGI60-11.03756,6.130521774,45.116443634,66,1925,743.9389131621415
