,lon,lat,n_mb_years,tstar,prcp_fac,bias
RGI60-11.00012,13.0581,47.4242,10,1970,2.5,-37.9379250668585
RGI60-11.00073,12.5956,47.1403,17,1971,2.5,-9.474889602202666
RGI60-11.00080,12.5964,47.1316,52,1971,2.5,3.1251204331634312
RGI60-11.00106,12.6967,47.0991,18,1975,2.5,-31.702200865949294
RGI60-11.00251,12.9472,47.053,5,1988,2.5,-351.8844992766643
RGI60-11.00289,12.9702,47.0421,15,1982,2.5,-18.444203853048066
RGI60-11.00300,13.0049,47.0385,21,1932,2.5,46.77473540440474
RGI60-11.00603,11.2247,46.9656,8,1928,2.5,19.999898208766353
RGI60-11.00719,10.818,46.8762,39,1976,2.5,-5.650608015387888
RGI60-11.00781,10.1603,46.8577,15,1930,2.5,19.086792750572386
RGI60-11.00787,10.7907,46.8424,51,1980,2.5,-43.5131212969394
RGI60-11.00797,10.1054,46.8515,9,1981,2.5,34.998569951672835
RGI60-11.00804,10.0766,46.8524,85,1930,2.5,-2.450526528296052
RGI60-11.00807,10.1309,46.8529,9,1925,2.5,-14.610136094074619
RGI60-11.00843,8.89117,46.8442,89,1980,2.5,-35.86039293363238
RGI60-11.00892,8.98871,46.833,42,1970,2.5,-1.61100637152407
RGI60-11.00897,10.7584,46.8003,51,1930,2.5,30.62374732218325
RGI60-11.00918,8.97739,46.8133,38,1927,2.5,-40.84334389160554
RGI60-11.00929,11.0191,46.7817,8,1928,2.5,-22.965320415941505
RGI60-11.01238,8.3965,46.6236,29,1903,2.5,-1.7526508654631243
RGI60-11.01450,8.01919,46.5028,60,1970,2.5,4.157543342629367
RGI60-11.01704,10.771,46.4838,17,1976,2.5,14.48543624733361
RGI60-11.01834,10.7085,46.4512,37,1927,2.5,4.643107765978016
RGI60-11.01876,8.33019,46.4383,42,1928,2.5,68.57413219924365
RGI60-11.01987,8.4812,46.416,12,1988,2.5,-365.20462944532255
RGI60-11.02214,10.5127,46.348,14,1928,2.5,52.656883041219885
RGI60-11.02245,9.70108,46.3085,6,1903,2.5,121.13265539880024
RGI60-11.02285,9.64185,46.2987,6,1905,2.5,96.43649436901876
RGI60-11.02671,7.9245,46.0649,40,1928,2.5,1.5808856067296801
RGI60-11.02679,7.9131,46.055,48,1983,2.5,27.291014623711817
RGI60-11.02704,7.90949,46.0336,48,1983,2.5,-14.51653987575537
RGI60-11.02746,7.92806,46.0081,48,1983,2.5,15.890559459918535
RGI60-11.02766,7.29108,45.9647,7,1988,2.5,-360.0862086576735
RGI60-11.02774,7.38888,45.9921,37,1981,2.5,-9.064706031764672
RGI60-11.03135,7.38984,45.5181,12,1924,2.5,4.971600463896948
RGI60-11.03209,0.639342666,42.648979187,25,1984,2.5,-51.95756006648821
RGI60-11.03232,-0.141221896,42.771190643,14,1972,2.5,40.1016591667842
RGI60-11.03241,13.56671,42.47054,21,1960,2.5,7.998923438583347
RGI60-11.03246,10.982920789,47.415938932,6,1958,2.5,0.6127240143549386
RGI60-11.03638,6.985,45.951,28,1980,2.5,-4.092654068117213
RGI60-11.03643,6.934,45.883,8,1980,2.5,-31.437152445740594
RGI60-11.03671,6.629,45.295,9,1987,2.5,-50.628876677023015
RGI60-11.03674,6.159,45.16,47,1928,2.5,20.001115113627293
RGI60-11.03756,6.130521774,45.116443634,55,1922,2.5,174.87294442907717
