,lon,lat,n_mb_years,tstar,prcp_fac,bias
RGI60-11.00002,13.6135,47.4845,8,1977,2.5,-23.355920090308246
RGI60-11.00012,13.0581,47.4242,10,1961,2.5,20.193367187668173
RGI60-11.00073,12.5956,47.1403,17,1961,2.5,19.91175255318899
RGI60-11.00080,12.5964,47.1316,63,1960,2.5,-1.112955691056527
RGI60-11.00106,12.6967,47.0991,28,1976,2.5,39.58337515422534
RGI60-11.00190,12.3784,47.0851,8,1992,2.5,-12.963568127785493
RGI60-11.00251,12.9472,47.053,16,1991,2.5,-9.362636533564
RGI60-11.00289,12.9702,47.0421,26,1981,2.5,36.73795951222371
RGI60-11.00300,13.0049,47.0385,32,1933,2.5,-19.12519337268168
RGI60-11.00603,11.2247,46.9656,19,1927,2.5,-33.86433399078976
RGI60-11.00619,11.1528,46.9566,13,1982,2.5,-15.73879685081124
RGI60-11.00638,9.38896,46.9603,8,1971,2.5,27.373457899826917
RGI60-11.00647,12.0965,46.9069,6,1988,2.5,63.35461782980656
RGI60-11.00719,10.818,46.8762,50,1981,2.5,36.97934377354994
RGI60-11.00781,10.1603,46.8577,26,1930,2.5,-2.0962749270730683
RGI60-11.00787,10.7907,46.8424,62,1983,2.5,15.452157122435466
RGI60-11.00797,10.1054,46.8515,9,1981,2.5,34.998569951672835
RGI60-11.00804,10.0766,46.8524,96,1931,2.5,7.802279074134333
RGI60-11.00807,10.1309,46.8529,9,1925,2.5,-14.610136094074619
RGI60-11.00843,8.89117,46.8442,100,1978,2.5,-4.857380053555943
RGI60-11.00892,8.98871,46.833,42,1970,2.5,-1.61100637152407
RGI60-11.00897,10.7584,46.8003,62,1931,2.5,24.448157393261
RGI60-11.00918,8.97739,46.8133,38,1927,2.5,-40.84334389160554
RGI60-11.00929,11.0191,46.7817,8,1928,2.5,-22.965320415941505
RGI60-11.01238,8.3965,46.6236,33,1912,2.5,-0.8557592554348048
RGI60-11.01450,8.01919,46.5028,60,1970,2.5,4.157543342629367
RGI60-11.01662,9.36354,46.5056,5,1976,2.5,43.641995861093505
RGI60-11.01704,10.771,46.4838,28,1976,2.5,36.979202303331476
RGI60-11.01776,10.6115,46.4674,11,1975,2.5,-13.043460127028311
RGI60-11.01834,10.7085,46.4512,48,1926,2.5,20.201152172863203
RGI60-11.01876,8.33019,46.4383,53,1927,2.5,-70.3127716355134
RGI60-11.01930,10.1119,46.4296,5,1980,2.5,-56.81913445828263
RGI60-11.01987,8.4812,46.416,23,1990,2.5,31.671305251883837
RGI60-11.02072,7.51198,46.3839,5,1911,2.5,447.1868741182989
RGI60-11.02214,10.5127,46.348,14,1928,2.5,52.656883041219885
RGI60-11.02245,9.70108,46.3085,6,1903,2.5,121.13265539880024
RGI60-11.02249,7.22536,46.3202,5,1911,2.5,497.7443563982042
RGI60-11.02285,9.64185,46.2987,6,1905,2.5,96.43649436901876
RGI60-11.02648,9.98941,46.0754,5,1997,2.5,14.442736976824243
RGI60-11.02671,7.9245,46.0649,40,1928,2.5,1.5808856067296801
RGI60-11.02679,7.9131,46.055,59,1958,2.5,10.219867427794526
RGI60-11.02704,7.90949,46.0336,59,1938,2.5,0.34227000955948483
RGI60-11.02746,7.92806,46.0081,59,1961,2.5,44.28040221769069
RGI60-11.02764,7.87661,46.0124,9,1984,2.5,-4.339450191993819
RGI60-11.02766,7.29108,45.9647,18,1985,2.5,3.12203012039879
RGI60-11.02773,7.87051,45.9936,10,1984,2.5,-23.312109444621456
RGI60-11.02774,7.38888,45.9921,48,1959,2.5,0.6994227919387299
RGI60-11.03084,7.27894,45.5592,14,1956,2.5,11.477989030789217
RGI60-11.03135,7.38984,45.5181,23,1905,2.5,-69.55765952977276
RGI60-11.03166,7.2204,45.4757,12,1958,2.5,19.531359212844734
RGI60-11.03246,10.982920789,47.415938932,6,1958,2.5,0.6127240143549386
RGI60-11.03638,6.985,45.951,39,1965,2.5,-65.84096109669724
RGI60-11.03643,6.934,45.883,8,1963,2.5,-55.78561557585863
RGI60-11.03671,6.629,45.295,20,1965,2.5,10.237763247028397
RGI60-11.03674,6.159,45.16,58,1925,2.5,64.67050935836426
RGI60-11.03756,6.130521774,45.116443634,66,1922,2.5,445.3639573742298
